"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310010] PAGA";"53";"5310";"5310010";"66";"379";"13";"6";"464";"464"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310011] MEGO";"53";"5310";"5310011";"4";"127";"1";"0";"132";"132"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310020] LELA";"53";"5310";"5310020";"17";"707";"0";"7";"731";"731"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310030] BOLA";"53";"5310";"5310030";"15";"751";"0";"19";"785";"785"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310031] DORENG";"53";"5310";"5310031";"9";"439";"0";"0";"448";"448"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310032] MAPITARA";"53";"5310";"5310032";"73";"397";"0";"6";"476";"476"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310040] TALIBURA";"53";"5310";"5310040";"583";"1636";"112";"688";"3019";"3019"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310041] WAIGETE";"53";"5310";"5310041";"499";"1781";"311";"364";"2955";"2956"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310042] WAIBLAMA";"53";"5310";"5310042";"193";"402";"74";"470";"1139";"1140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310050] KEWAPANTE";"53";"5310";"5310050";"115";"740";"12";"21";"888";"888"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"32";"477";"4";"0";"513";"513"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310052] KANGAE";"53";"5310";"5310052";"69";"840";"37";"6";"952";"952"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310061] PALUE";"53";"5310";"5310061";"66";"1287";"0";"0";"1353";"1353"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310062] KOTING";"53";"5310";"5310062";"13";"423";"0";"1";"437";"437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310063] NELLE";"53";"5310";"5310063";"10";"401";"0";"2";"413";"413"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310070] NITA";"53";"5310";"5310070";"30";"943";"0";"2";"975";"975"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310071] MAGEPANDA";"53";"5310";"5310071";"786";"272";"70";"52";"1180";"1180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310080] ALOK";"53";"5310";"5310080";"131";"112";"8";"607";"858";"858"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310081] ALOK BARAT";"53";"5310";"5310081";"249";"97";"38";"74";"458";"458"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"90";"726";"8";"28";"852";"852"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310] SIKKA";"53";"5310";"5310999";"3050";"12942";"688";"2353";"19033";"19035"
