"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310010] PAGA";"53";"5310";"5310010";"7";"18";"0";"0";"25";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310011] MEGO";"53";"5310";"5310011";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310020] LELA";"53";"5310";"5310020";"0";"25";"0";"1";"26";"26"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310030] BOLA";"53";"5310";"5310030";"2";"76";"0";"1";"79";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310031] DORENG";"53";"5310";"5310031";"1";"71";"0";"0";"72";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310040] TALIBURA";"53";"5310";"5310040";"52";"186";"12";"41";"291";"291"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310041] WAIGETE";"53";"5310";"5310041";"98";"826";"102";"140";"1166";"1166"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"13";"130";"3";"2";"148";"148"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"42";"316";"4";"23";"385";"385"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"10";"166";"1";"0";"177";"177"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310052] KANGAE";"53";"5310";"5310052";"139";"644";"28";"7";"818";"819"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310061] PALUE";"53";"5310";"5310061";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310062] KOTING";"53";"5310";"5310062";"0";"24";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310063] NELLE";"53";"5310";"5310063";"0";"34";"0";"0";"34";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310070] NITA";"53";"5310";"5310070";"4";"83";"0";"0";"87";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"221";"41";"50";"7";"319";"319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310080] ALOK";"53";"5310";"5310080";"48";"22";"0";"9";"79";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"111";"42";"19";"26";"198";"198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"37";"181";"1";"11";"230";"230"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310] SIKKA";"53";"5310";"5310999";"785";"2894";"220";"268";"4167";"4168"
