"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_0";"n_rtup_0_to_0_1";"n_rtup_0_1_to_0_19";"n_rtup_0_2_to_0_49";"n_rtup_0_5_to_0_99";"n_rtup_1_to_1_99";"n_rtup_2_to_2_99";"n_rtup_3_to_3_99";"n_rtup_4_to_4_99";"n_rtup_5_to_9_99";"n_rtup_10_to_19_99";"n_rtup_20_to_49_99";"n_rtup_50_to_99";"n_rtup_100_to_199";"n_rtup_200_to_499";"n_rtup_500_to_999";"n_rtup_1000plus"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"70";"571";"344";"647";"678";"389";"74";"17";"6";"5";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"70";"168";"64";"347";"668";"693";"245";"79";"32";"21";"3";"0";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"10";"48";"109";"449";"587";"436";"102";"22";"3";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"112";"294";"158";"409";"470";"349";"85";"21";"18";"9";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"38";"178";"418";"795";"517";"154";"25";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"22";"38";"138";"798";"775";"307";"56";"8";"6";"6";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"16";"78";"519";"461";"166";"33";"12";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"433";"405";"368";"816";"985";"964";"279";"59";"18";"17";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"68";"657";"803";"1539";"941";"447";"70";"18";"3";"5";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"30";"49";"304";"577";"540";"100";"18";"10";"7";"1";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"93";"615";"298";"548";"361";"111";"23";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"67";"147";"588";"535";"253";"47";"6";"3";"3";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"244";"777";"555";"982";"555";"173";"22";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"8";"755";"506";"417";"136";"39";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"7";"338";"218";"379";"235";"89";"18";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"27";"367";"253";"314";"95";"7";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"22";"548";"387";"1034";"947";"622";"154";"35";"15";"17";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"210";"501";"431";"669";"396";"215";"48";"3";"3";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"523";"1266";"346";"252";"119";"50";"12";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"757";"1244";"227";"183";"89";"55";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"743";"767";"249";"478";"470";"269";"36";"4";"3";"4";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3471";"9650";"6146";"12467";"10597";"6328";"1444";"328";"125";"101";"11";"1";"1";"0";"0";"0";"0"
