"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"sum_luas_tanam";"mean_luas_tanam_per_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310010] PAGA";"53";"5310";"5310010";"27";"2.83";"1048.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310011] MEGO";"53";"5310";"5310011";"4";"0.68";"1700.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310020] LELA";"53";"5310";"5310020";"5";"0.35";"700.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310030] BOLA";"53";"5310";"5310030";"10";"0.62";"620.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310031] DORENG";"53";"5310";"5310031";"2";"0.15";"750.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310032] MAPITARA";"53";"5310";"5310032";"14";"2.88";"2057.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310040] TALIBURA";"53";"5310";"5310040";"81";"9.26";"1143.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310041] WAIGETE";"53";"5310";"5310041";"301";"33.02";"1097.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2";"0.02";"100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310050] KEWAPANTE";"53";"5310";"5310050";"316";"48.50";"1534.81"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"20";"0.90";"450.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310052] KANGAE";"53";"5310";"5310052";"1240";"449.39";"3624.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310061] PALUE";"53";"5310";"5310061";"751";"48.67";"648.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310062] KOTING";"53";"5310";"5310062";"8";"2.36";"2950.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310063] NELLE";"53";"5310";"5310063";"75";"13.53";"1804.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310070] NITA";"53";"5310";"5310070";"7";"1.80";"2571.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310071] MAGEPANDA";"53";"5310";"5310071";"179";"25.10";"1402.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310080] ALOK";"53";"5310";"5310080";"797";"164.30";"2061.48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310081] ALOK BARAT";"53";"5310";"5310081";"29";"3.53";"1217.24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"694";"254.64";"3669.16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310] SIKKA";"53";"5310";"5310999";"4562";"1062.52";"2329.06"
