"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_tidak_sekolah";"n_putp_tidak_sd";"n_putp_sd";"n_putp_sltp";"n_putp_slta_pertanian";"n_putp_slta_non_pertanian";"n_putp_slta";"n_putp_diploma_pertanian";"n_putp_diploma_non_pertanian";"n_putp_diploma";"n_putp_s1_pertanian";"n_putp_s1_non_pertanian";"n_putp_s1";"n_putp_profesi";"n_putp_s2s3_pertanian";"n_putp_s2s3_non_pertanian";"n_putp_s2s3";"n_putp";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"41";"434";"232";"71";"3";"65";"68";"0";"3";"3";"0";"11";"11";"0";"0";"0";"0";"860";"860"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"69";"184";"119";"29";"0";"16";"16";"0";"4";"4";"0";"5";"5";"0";"0";"0";"0";"426";"426"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"28";"114";"168";"16";"0";"9";"9";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"336";"336"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"5";"142";"112";"21";"0";"21";"21";"0";"3";"3";"0";"6";"6";"0";"0";"0";"0";"310";"310"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"28";"296";"238";"56";"2";"57";"59";"0";"1";"1";"0";"5";"5";"0";"0";"0";"0";"683";"683"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"68";"149";"127";"32";"0";"36";"36";"1";"3";"4";"1";"10";"11";"0";"0";"0";"0";"427";"427"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"40";"79";"50";"10";"0";"6";"6";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"187";"187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"56";"242";"525";"72";"3";"59";"62";"0";"5";"5";"0";"20";"20";"1";"0";"0";"0";"983";"983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"117";"382";"400";"90";"5";"85";"90";"1";"12";"13";"1";"23";"24";"0";"0";"0";"0";"1116";"1116"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"40";"31";"222";"10";"2";"7";"9";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"314";"314"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"51";"254";"195";"44";"4";"49";"53";"0";"8";"8";"0";"14";"14";"0";"0";"0";"0";"619";"619"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"31";"167";"126";"33";"0";"34";"34";"0";"3";"3";"0";"5";"5";"1";"0";"0";"0";"400";"400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"36";"409";"448";"98";"4";"129";"133";"1";"12";"13";"3";"45";"48";"1";"0";"1";"1";"1187";"1187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"84";"156";"444";"20";"2";"16";"18";"0";"2";"2";"2";"4";"6";"0";"0";"0";"0";"730";"730"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2";"94";"136";"16";"0";"36";"36";"1";"4";"5";"0";"5";"5";"0";"0";"0";"0";"294";"294"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"3";"123";"98";"22";"1";"26";"27";"0";"3";"3";"1";"8";"9";"1";"0";"0";"0";"286";"286"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"31";"323";"380";"87";"3";"87";"90";"0";"11";"11";"2";"20";"22";"0";"0";"0";"0";"944";"944"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"66";"238";"168";"41";"1";"49";"50";"0";"0";"0";"0";"12";"12";"0";"0";"1";"1";"576";"576"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"22";"312";"454";"100";"4";"153";"157";"1";"12";"13";"3";"27";"30";"0";"0";"0";"0";"1088";"1088"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"32";"241";"266";"76";"1";"108";"109";"0";"17";"17";"0";"20";"20";"0";"0";"0";"0";"761";"761"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"31";"131";"300";"58";"3";"82";"85";"1";"11";"12";"0";"22";"22";"0";"0";"0";"0";"639";"639"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"881";"4501";"5208";"1002";"38";"1130";"1168";"7";"117";"124";"13";"263";"276";"4";"0";"2";"2";"13166";"13166"
