"id_prov";"id_kab";"id_kategori_luas_lahan_tani";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan_tani";"n_utp_kategori_luas_lahan_tani";"n_upb_kategori_luas_lahan_tani";"n_utl_kategori_luas_lahan_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310012] TANA WAWO";"53";"5310";"5310012";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310012] TANA WAWO";"53";"5310";"5310012";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310012] TANA WAWO";"53";"5310";"5310012";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310020] LELA";"53";"5310";"5310020";"Usaha Pertanian Tanpa Lahan Pertanian";"140.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310020] LELA";"53";"5310";"5310020";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1860.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310020] LELA";"53";"5310";"5310020";"< 1";"1378.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310020] LELA";"53";"5310";"5310020";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310020] LELA";"53";"5310";"5310020";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310020] LELA";"53";"5310";"5310020";"1-1,99";"351.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310020] LELA";"53";"5310";"5310020";"2-4,99";"121.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310020] LELA";"53";"5310";"5310020";"5-9,99";"9.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310020] LELA";"53";"5310";"5310020";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310020] LELA";"53";"5310";"5310020";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310020] LELA";"53";"5310";"5310020";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310020] LELA";"53";"5310";"5310020";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310020] LELA";"53";"5310";"5310020";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310030] BOLA";"53";"5310";"5310030";"Usaha Pertanian Tanpa Lahan Pertanian";"54.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310030] BOLA";"53";"5310";"5310030";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2186.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310030] BOLA";"53";"5310";"5310030";"< 1";"2015.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310030] BOLA";"53";"5310";"5310030";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310030] BOLA";"53";"5310";"5310030";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310030] BOLA";"53";"5310";"5310030";"1-1,99";"145.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310030] BOLA";"53";"5310";"5310030";"2-4,99";"26.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310030] BOLA";"53";"5310";"5310030";"5-9,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310030] BOLA";"53";"5310";"5310030";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310030] BOLA";"53";"5310";"5310030";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310030] BOLA";"53";"5310";"5310030";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310030] BOLA";"53";"5310";"5310030";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310030] BOLA";"53";"5310";"5310030";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310031] DORENG";"53";"5310";"5310031";"Usaha Pertanian Tanpa Lahan Pertanian";"24.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310031] DORENG";"53";"5310";"5310031";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2259.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310031] DORENG";"53";"5310";"5310031";"< 1";"1896.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310031] DORENG";"53";"5310";"5310031";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310031] DORENG";"53";"5310";"5310031";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310031] DORENG";"53";"5310";"5310031";"1-1,99";"298.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310031] DORENG";"53";"5310";"5310031";"2-4,99";"60.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310031] DORENG";"53";"5310";"5310031";"5-9,99";"5.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310031] DORENG";"53";"5310";"5310031";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310031] DORENG";"53";"5310";"5310031";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310031] DORENG";"53";"5310";"5310031";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310031] DORENG";"53";"5310";"5310031";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310031] DORENG";"53";"5310";"5310031";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310032] MAPITARA";"53";"5310";"5310032";"Usaha Pertanian Tanpa Lahan Pertanian";"28.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310032] MAPITARA";"53";"5310";"5310032";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1411.00";"0.00";"3.00"
