"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310010] PAGA";"53";"5310";"5310010";"56443233";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310011] MEGO";"53";"5310";"5310011";"48379758";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310012] TANA WAWO";"53";"5310";"5310012";"40316473";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310020] LELA";"53";"5310";"5310020";"36285696";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310030] BOLA";"53";"5310";"5310030";"32253884";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310031] DORENG";"53";"5310";"5310031";"36285543";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310032] MAPITARA";"53";"5310";"5310032";"16126882";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310040] TALIBURA";"53";"5310";"5310040";"80634170";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310041] WAIGETE";"53";"5310";"5310041";"44349691";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310042] WAIBLAMA";"53";"5310";"5310042";"28224280";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310050] KEWAPANTE";"53";"5310";"5310050";"36288288";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"28224168";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310052] KANGAE";"53";"5310";"5310052";"36288144";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310061] PALUE";"53";"5310";"5310061";"32256060";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310062] KOTING";"53";"5310";"5310062";"28224000";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310063] NELLE";"53";"5310";"5310063";"20159970";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310070] NITA";"53";"5310";"5310070";"60481069";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310071] MAGEPANDA";"53";"5310";"5310071";"32256732";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310080] ALOK";"53";"5310";"5310080";"28224588";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310081] ALOK BARAT";"53";"5310";"5310081";"16128314";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"44352781";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2141";"[5310] SIKKA";"53";"5310";"5310999";"782183724";"0";"0";"0";"0";"0";"0"
