"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310010] PAGA";"53";"5310";"5310010";"14";"26";"0";"1";"41";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310011] MEGO";"53";"5310";"5310011";"25";"264";"0";"0";"289";"289"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310012] TANA WAWO";"53";"5310";"5310012";"3";"77";"0";"0";"80";"80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310020] LELA";"53";"5310";"5310020";"1";"70";"0";"0";"71";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310030] BOLA";"53";"5310";"5310030";"24";"635";"2";"2";"663";"660"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310031] DORENG";"53";"5310";"5310031";"9";"381";"0";"0";"390";"389"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310032] MAPITARA";"53";"5310";"5310032";"17";"212";"1";"0";"230";"230"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310040] TALIBURA";"53";"5310";"5310040";"4";"22";"1";"9";"36";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310041] WAIGETE";"53";"5310";"5310041";"6";"84";"2";"16";"108";"108"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"10";"0";"2";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"36";"1";"0";"39";"39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"207";"0";"0";"209";"208"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310052] KANGAE";"53";"5310";"5310052";"7";"168";"1";"0";"176";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310061] PALUE";"53";"5310";"5310061";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310062] KOTING";"53";"5310";"5310062";"6";"50";"5";"0";"61";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310070] NITA";"53";"5310";"5310070";"9";"276";"1";"1";"287";"287"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"1";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"2";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"22";"0";"0";"28";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310] SIKKA";"53";"5310";"5310999";"137";"2547";"14";"32";"2730";"2725"
