"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_ternak";"n_rtup_ternak_usaha_sapi";"n_rtup_ternak_usaha_sapi_potong";"n_rtup_ternak_usaha_sapi_perah";"n_rtup_ternak_usaha_kerbau";"n_rtup_ternak_usaha_kerbau_potong";"n_rtup_ternak_usaha_kerbau_perah";"n_rtup_ternak_usaha_kuda";"n_rtup_ternak_usaha_unta";"n_rtup_ternak_usaha_rusa";"n_rtup_ternak_usaha_kambing";"n_rtup_ternak_usaha_kambing_potong";"n_rtup_ternak_usaha_kambing_perah";"n_rtup_ternak_usaha_domba";"n_rtup_ternak_usaha_domba_potong";"n_rtup_ternak_usaha_domba_perah";"n_rtup_ternak_usaha_babi";"n_rtup_ternak_usaha_keledai";"n_rtup_ternak_usaha_kelinci_potong";"n_rtup_ternak_usaha_ayam_ras_pedaging";"n_rtup_ternak_usaha_ayam_ras_petelur";"n_rtup_ternak_usaha_ayam_ras_pedaging_petelur";"n_rtup_ternak_usaha_ayam_kampung";"n_rtup_ternak_usaha_ayam_kampung_biasa";"n_rtup_ternak_usaha_ayam_kampung_pedaging";"n_rtup_ternak_usaha_ayam_kampung_petelur";"n_rtup_ternak_usaha_itik";"n_rtup_ternak_usaha_itik_petelur";"n_rtup_ternak_usaha_itik_pedaging";"n_rtup_ternak_usaha_itik_manila";"n_rtup_ternak_usaha_angsa";"n_rtup_ternak_usaha_merpati";"n_rtup_ternak_usaha_puyuh";"n_rtup_ternak_usaha_puyuh_petelur";"n_rtup_ternak_usaha_puyuh_pedaging";"n_rtup_ternak_usaha_kalkun";"n_rtup_ternak_usaha_burung_unta";"n_rtup_ternak_usaha_anjing";"n_rtup_ternak_usaha_cacing";"n_rtup_ternak_usaha_hamster";"n_rtup_ternak_usaha_jangkrik";"n_rtup_ternak_usaha_kucing";"n_rtup_ternak_usaha_lebah";"n_rtup_ternak_usaha_marmut";"n_rtup_ternak_usaha_ulat_sutera";"n_rtup_ternak_usaha_walet";"n_rtup_ternak_usaha_ayam_lokal_lain";"n_rtup_ternak_usaha_unggas_non_pangan";"n_rtup_ternak_usaha_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1494";"211";"211";"0";"0";"0";"0";"5";"0";"0";"357";"357";"0";"0";"0";"0";"642";"0";"0";"0";"1";"1";"1042";"1042";"0";"0";"29";"0";"0";"29";"1";"0";"0";"0";"0";"0";"0";"134";"0";"0";"0";"36";"0";"0";"0";"0";"8";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1341";"35";"35";"0";"0";"0";"0";"1";"0";"0";"239";"239";"0";"0";"0";"0";"447";"0";"0";"0";"0";"0";"1198";"1198";"0";"0";"9";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"170";"0";"0";"0";"8";"0";"0";"0";"0";"16";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2722";"326";"326";"0";"0";"0";"0";"17";"0";"0";"619";"619";"0";"0";"0";"0";"1105";"0";"0";"6";"1";"6";"2207";"2207";"0";"0";"62";"0";"0";"62";"0";"2";"0";"0";"0";"0";"0";"458";"0";"0";"0";"17";"0";"0";"0";"0";"6";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"627";"0";"0";"0";"0";"0";"0";"0";"0";"0";"195";"195";"0";"0";"0";"0";"321";"0";"0";"0";"0";"0";"275";"275";"0";"0";"2";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"767";"8";"8";"0";"0";"0";"0";"6";"0";"0";"139";"139";"0";"0";"0";"0";"304";"0";"0";"3";"2";"5";"588";"588";"0";"0";"13";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"87";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"856";"22";"22";"0";"0";"0";"0";"7";"0";"0";"127";"127";"0";"0";"0";"0";"403";"0";"0";"3";"2";"5";"645";"645";"0";"0";"20";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"109";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2433";"49";"49";"0";"4";"4";"0";"28";"0";"0";"593";"593";"0";"0";"0";"0";"926";"0";"0";"24";"0";"24";"1629";"1629";"0";"0";"32";"0";"0";"32";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1607";"390";"390";"0";"168";"168";"0";"72";"0";"0";"416";"416";"0";"0";"0";"0";"773";"0";"0";"3";"1";"4";"958";"958";"0";"0";"86";"0";"0";"86";"1";"1";"0";"0";"0";"0";"0";"71";"0";"0";"0";"1";"0";"0";"0";"0";"8";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1443";"11";"11";"0";"1";"1";"0";"10";"0";"0";"255";"255";"0";"0";"0";"0";"817";"0";"0";"6";"0";"6";"703";"703";"0";"0";"100";"0";"0";"100";"0";"5";"0";"0";"0";"0";"0";"41";"0";"0";"0";"1";"0";"0";"0";"0";"54";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1379";"199";"199";"0";"0";"0";"0";"16";"0";"0";"302";"302";"0";"0";"0";"0";"724";"0";"0";"12";"1";"13";"728";"728";"0";"0";"52";"0";"0";"52";"1";"4";"0";"0";"0";"0";"0";"84";"0";"0";"0";"0";"0";"0";"0";"0";"64";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2193";"119";"119";"0";"1";"1";"0";"11";"0";"0";"633";"633";"0";"0";"0";"0";"1182";"0";"0";"9";"0";"9";"1134";"1134";"0";"0";"78";"0";"0";"78";"0";"7";"0";"0";"0";"3";"0";"216";"0";"0";"0";"4";"0";"0";"0";"1";"8";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"33368";"4427";"4427";"0";"206";"206";"0";"280";"0";"0";"8976";"8976";"0";"0";"0";"0";"13797";"0";"0";"82";"12";"93";"22319";"22319";"0";"0";"768";"0";"0";"768";"3";"24";"0";"0";"0";"3";"0";"4934";"0";"0";"0";"177";"1";"0";"0";"3";"227";"0";"0"
