"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_pelihara_ternak";"n_utp_ternak_pelihara_sapi";"n_utp_ternak_pelihara_sapi_potong";"n_utp_ternak_pelihara_sapi_perah";"n_utp_ternak_pelihara_kerbau";"n_utp_ternak_pelihara_kerbau_potong";"n_utp_ternak_pelihara_kerbau_perah";"n_utp_ternak_pelihara_kuda";"n_utp_ternak_pelihara_unta";"n_utp_ternak_pelihara_rusa";"n_utp_ternak_pelihara_kambing";"n_utp_ternak_pelihara_kambing_potong";"n_utp_ternak_pelihara_kambing_perah";"n_utp_ternak_pelihara_domba";"n_utp_ternak_pelihara_domba_potong";"n_utp_ternak_pelihara_domba_perah";"n_utp_ternak_pelihara_babi";"n_utp_ternak_pelihara_keledai";"n_utp_ternak_pelihara_kelinci_potong";"n_utp_ternak_pelihara_ayam_ras_pedaging";"n_utp_ternak_pelihara_ayam_ras_petelur";"n_utp_ternak_pelihara_ayam_ras_pedaging_petelur";"n_utp_ternak_pelihara_ayam_kampung";"n_utp_ternak_pelihara_ayam_kampung_biasa";"n_utp_ternak_pelihara_ayam_kampung_pedaging";"n_utp_ternak_pelihara_ayam_kampung_petelur";"n_utp_ternak_pelihara_itik";"n_utp_ternak_pelihara_itik_petelur";"n_utp_ternak_pelihara_itik_pedaging";"n_utp_ternak_pelihara_itik_manila";"n_utp_ternak_pelihara_angsa";"n_utp_ternak_pelihara_merpati";"n_utp_ternak_pelihara_puyuh";"n_utp_ternak_pelihara_puyuh_petelur";"n_utp_ternak_pelihara_puyuh_pedaging";"n_utp_ternak_pelihara_kalkun";"n_utp_ternak_pelihara_burung_unta";"n_utp_ternak_pelihara_anjing";"n_utp_ternak_pelihara_cacing";"n_utp_ternak_pelihara_hamster";"n_utp_ternak_pelihara_jangkrik";"n_utp_ternak_pelihara_kucing";"n_utp_ternak_pelihara_lebah";"n_utp_ternak_pelihara_marmut";"n_utp_ternak_pelihara_ulat_sutera";"n_utp_ternak_pelihara_walet";"n_utp_ternak_pelihara_ayam_lokal_lain";"n_utp_ternak_pelihara_unggas_non_pangan";"n_utp_ternak_pelihara_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1495";"35";"35";"0";"0";"0";"0";"1";"0";"0";"243";"243";"0";"0";"0";"0";"467";"0";"0";"0";"0";"0";"1332";"1332";"0";"0";"12";"0";"0";"12";"0";"1";"0";"0";"0";"0";"0";"800";"0";"0";"1";"416";"0";"0";"0";"0";"17";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2898";"336";"336";"0";"0";"0";"0";"17";"0";"0";"632";"632";"0";"0";"0";"0";"1135";"0";"0";"6";"1";"6";"2419";"2419";"0";"0";"67";"0";"0";"67";"0";"2";"0";"0";"0";"0";"0";"783";"0";"0";"0";"423";"0";"0";"0";"0";"8";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"266";"266";"0";"0";"0";"0";"505";"0";"0";"0";"0";"0";"1091";"1091";"0";"0";"9";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"643";"0";"0";"0";"27";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1129";"12";"12";"0";"0";"0";"0";"8";"0";"0";"226";"226";"0";"0";"0";"0";"459";"0";"0";"3";"2";"5";"959";"959";"0";"0";"21";"0";"0";"21";"0";"3";"0";"0";"0";"0";"0";"453";"0";"0";"0";"205";"0";"0";"0";"0";"9";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"992";"23";"23";"0";"0";"0";"0";"8";"0";"0";"136";"136";"0";"0";"0";"0";"435";"0";"0";"3";"2";"5";"877";"877";"0";"0";"29";"0";"0";"29";"0";"2";"0";"0";"0";"0";"0";"377";"0";"0";"0";"232";"0";"0";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2870";"51";"51";"0";"4";"4";"0";"37";"0";"0";"622";"622";"0";"0";"0";"0";"1000";"0";"0";"24";"1";"24";"2193";"2193";"0";"0";"56";"0";"0";"56";"1";"0";"0";"0";"0";"1";"0";"1220";"0";"0";"0";"268";"0";"0";"0";"0";"13";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1761";"452";"452";"0";"204";"204";"0";"73";"0";"0";"427";"427";"0";"0";"0";"0";"803";"0";"0";"3";"1";"4";"1063";"1063";"0";"0";"94";"0";"0";"94";"1";"1";"0";"0";"0";"0";"0";"288";"0";"0";"0";"82";"0";"0";"0";"0";"9";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1602";"11";"11";"0";"1";"1";"0";"10";"0";"0";"263";"263";"0";"0";"0";"0";"830";"0";"0";"6";"0";"6";"920";"920";"0";"0";"124";"0";"0";"124";"0";"9";"0";"0";"0";"1";"0";"253";"0";"0";"0";"243";"0";"0";"0";"0";"68";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1606";"224";"224";"0";"1";"1";"0";"22";"0";"0";"332";"332";"0";"0";"0";"0";"791";"0";"0";"12";"1";"13";"1002";"1002";"0";"0";"69";"0";"0";"69";"1";"7";"0";"0";"0";"0";"0";"325";"0";"0";"0";"119";"0";"0";"0";"0";"73";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2257";"121";"121";"0";"1";"1";"0";"11";"0";"0";"639";"639";"0";"0";"0";"0";"1195";"0";"0";"9";"0";"9";"1238";"1238";"0";"0";"90";"0";"0";"90";"0";"11";"0";"0";"0";"3";"0";"500";"0";"0";"0";"276";"0";"0";"0";"1";"9";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"38434";"4885";"4885";"0";"243";"243";"0";"321";"0";"0";"9582";"9582";"0";"0";"0";"0";"14947";"0";"0";"82";"13";"93";"27133";"27133";"0";"0";"927";"0";"0";"927";"5";"44";"0";"0";"0";"6";"0";"13270";"0";"0";"1";"4209";"1";"0";"0";"3";"279";"2";"0"
