tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_9_ternak;jml_utp_usaha_total_10_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_999_ternak;jml_utp_usaha_total_1000_4999_ternak;jml_utp_usaha_total_5000_9999_ternak;jml_utp_usaha_total_10000_more_ternak
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310052] KANGAE;53;5310;5310052;0;1;0;1;0;1;2;1;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;3;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310063] NELLE;53;5310;5310063;1;0;0;0;0;0;2;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310070] NITA;53;5310;5310070;4;0;0;0;1;0;18;1;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310071] MAGEPANDA;53;5310;5310071;0;1;0;0;0;0;2;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;6;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310081] ALOK BARAT;53;5310;5310081;0;0;2;1;1;1;6;1;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310082] ALOK TIMUR;53;5310;5310082;0;2;0;2;1;0;3;0;1
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4302;[5310] SIKKA;53;5310;5310999;5;8;3;5;5;3;47;5;1
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310020] LELA;53;5310;5310020;0;0;0;0;1;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310040] TALIBURA;53;5310;5310040;0;0;0;1;0;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310041] WAIGETE;53;5310;5310041;0;0;0;1;1;0;0;0;0
BAB_6_tabel_6_56_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4303;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
