"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310010] PAGA";"53";"5310";"5310010";"8";"0";"2";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310011] MEGO";"53";"5310";"5310011";"20";"1";"0";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310020] LELA";"53";"5310";"5310020";"13";"16";"0";"0";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310030] BOLA";"53";"5310";"5310030";"0";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310031] DORENG";"53";"5310";"5310031";"4";"4";"1";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"1";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310040] TALIBURA";"53";"5310";"5310040";"11";"4";"0";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310041] WAIGETE";"53";"5310";"5310041";"52";"2";"3";"1";"58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"1";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310052] KANGAE";"53";"5310";"5310052";"0";"1";"5";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310062] KOTING";"53";"5310";"5310062";"5";"7";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310070] NITA";"53";"5310";"5310070";"159";"40";"18";"1";"213"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310071] MAGEPANDA";"53";"5310";"5310071";"56";"5";"0";"2";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310080] ALOK";"53";"5310";"5310080";"3";"2";"4";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310081] ALOK BARAT";"53";"5310";"5310081";"14";"3";"2";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"2";"1";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310] SIKKA";"53";"5310";"5310999";"352";"92";"37";"4";"480"
