tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_selain_ternak_besar_tujuan_pengembangbiakan;n_utp_selain_ternak_besar_tujuan_penggemukan;n_utp_selain_ternak_besar_tujuan_pembibitan;n_utp_selain_ternak_besar_tujuan_pembesaran;n_utp_selain_ternak_besar_tujuan_produksi;jumlah;n_utp_usaha_selain_ternak_besar
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310071] MAGEPANDA;53;5310;5310071;368;413;3;0;0;784;784
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310080] ALOK;53;5310;5310080;572;253;1;0;0;826;826
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310081] ALOK BARAT;53;5310;5310081;195;532;0;0;0;727;727
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310082] ALOK TIMUR;53;5310;5310082;719;473;1;0;0;1193;1193
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310] SIKKA;53;5310;5310999;10432;3490;16;0;0;13938;13938
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310010] PAGA;53;5310;5310010;384;9;0;0;0;393;393
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310011] MEGO;53;5310;5310011;611;15;0;0;0;626;626
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310012] TANA WAWO;53;5310;5310012;495;46;0;0;0;541;541
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310020] LELA;53;5310;5310020;570;55;0;0;0;625;625
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310030] BOLA;53;5310;5310030;315;46;1;0;0;362;362
