tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_budidaya;n_rtup_pembibitan;n_rtup_budidaya_dan_pembibitan;n_rtup_jumlah;n_rtup_budidaya_jumlah;n_rtup_pembibitan_jumlah;n_rtup
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310052] KANGAE;53;5310;5310052;2;0;0;2;2;0;2
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310063] NELLE;53;5310;5310063;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310070] NITA;53;5310;5310070;17;1;0;18;17;1;18
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310081] ALOK BARAT;53;5310;5310081;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310082] ALOK TIMUR;53;5310;5310082;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310] SIKKA;53;5310;5310999;379;2;0;381;379;2;381
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310020] LELA;53;5310;5310020;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310030] BOLA;53;5310;5310030;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310040] TALIBURA;53;5310;5310040;17;0;0;17;17;0;17
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310041] WAIGETE;53;5310;5310041;6;0;0;6;6;0;6
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310042] WAIBLAMA;53;5310;5310042;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310050] KEWAPANTE;53;5310;5310050;6;0;0;6;6;0;6
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310051] HEWOKLOANG;53;5310;5310051;4;0;0;4;4;0;4
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310052] KANGAE;53;5310;5310052;6;0;0;6;6;0;6
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310062] KOTING;53;5310;5310062;4;0;0;4;4;0;4
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310063] NELLE;53;5310;5310063;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310070] NITA;53;5310;5310070;4;0;0;4;4;0;4
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310071] MAGEPANDA;53;5310;5310071;3;0;0;3;3;0;3
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310080] ALOK;53;5310;5310080;8;0;0;8;8;0;8
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310081] ALOK BARAT;53;5310;5310081;3;0;0;3;3;0;3
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310082] ALOK TIMUR;53;5310;5310082;4;0;0;4;4;0;4
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310] SIKKA;53;5310;5310999;69;0;0;69;69;0;69
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
