"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310010] PAGA";"53";"5310";"5310010";"20991467";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310011] MEGO";"53";"5310";"5310011";"17992530";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310012] TANA WAWO";"53";"5310";"5310012";"14994559";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310020] LELA";"53";"5310";"5310020";"13495554";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310030] BOLA";"53";"5310";"5310030";"11995980";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310031] DORENG";"53";"5310";"5310031";"13495401";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310032] MAPITARA";"53";"5310";"5310032";"5997930";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310040] TALIBURA";"53";"5310";"5310040";"29989410";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310041] WAIGETE";"53";"5310";"5310041";"16494005";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310042] WAIBLAMA";"53";"5310";"5310042";"10496122";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310050] KEWAPANTE";"53";"5310";"5310050";"13493750";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"10494967";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310052] KANGAE";"53";"5310";"5310052";"13493457";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310061] PALUE";"53";"5310";"5310061";"11994116";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310062] KOTING";"53";"5310";"5310062";"10494799";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310063] NELLE";"53";"5310";"5310063";"7496255";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310070] NITA";"53";"5310";"5310070";"22488615";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310071] MAGEPANDA";"53";"5310";"5310071";"11993836";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310080] ALOK";"53";"5310";"5310080";"10494554";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5997462";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"16492938";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2111";"[5310] SIKKA";"53";"5310";"5310999";"290877707";"1";"0";"0";"1";"1";"0";"1"
