"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310010] PAGA";"53";"5310";"5310010";"5";"0.73";"1460.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310011] MEGO";"53";"5310";"5310011";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310020] LELA";"53";"5310";"5310020";"1";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310030] BOLA";"53";"5310";"5310030";"1";"0.01";"100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310031] DORENG";"53";"5310";"5310031";"1";"0.03";"300.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310040] TALIBURA";"53";"5310";"5310040";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310041] WAIGETE";"53";"5310";"5310041";"8";"0.79";"987.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"0.03";"300.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0.01";"100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310052] KANGAE";"53";"5310";"5310052";"1";"0.01";"100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310061] PALUE";"53";"5310";"5310061";"1549";"82.39";"531.89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310062] KOTING";"53";"5310";"5310062";"29";"2.76";"951.72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310063] NELLE";"53";"5310";"5310063";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310070] NITA";"53";"5310";"5310070";"66";"4.13";"625.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310071] MAGEPANDA";"53";"5310";"5310071";"20";"0.41";"205.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310080] ALOK";"53";"5310";"5310080";"7";"0.69";"985.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"0.54";"5400.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1299";"[5310] SIKKA";"53";"5310";"5310999";"1691";"92.54";"547.25"
