"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_panen_sendiri";"n_utp_ijon";"n_utp_tebas";"n_utp_tdk_panen";"n_utp_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310010] PAGA";"53";"5310";"5310010";"1486";"1";"0";"47";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310011] MEGO";"53";"5310";"5310011";"1457";"0";"0";"24";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310012] TANA WAWO";"53";"5310";"5310012";"1188";"0";"0";"7";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310020] LELA";"53";"5310";"5310020";"694";"0";"0";"4";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310030] BOLA";"53";"5310";"5310030";"1557";"1";"0";"35";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310031] DORENG";"53";"5310";"5310031";"1401";"4";"0";"44";"44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310032] MAPITARA";"53";"5310";"5310032";"593";"0";"0";"12";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310040] TALIBURA";"53";"5310";"5310040";"260";"0";"1";"6";"53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310041] WAIGETE";"53";"5310";"5310041";"424";"1";"0";"15";"139"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310042] WAIBLAMA";"53";"5310";"5310042";"343";"0";"0";"8";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310050] KEWAPANTE";"53";"5310";"5310050";"142";"0";"0";"55";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"756";"0";"0";"97";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310052] KANGAE";"53";"5310";"5310052";"270";"0";"0";"57";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310061] PALUE";"53";"5310";"5310061";"293";"0";"0";"1";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310062] KOTING";"53";"5310";"5310062";"581";"0";"0";"27";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310063] NELLE";"53";"5310";"5310063";"113";"0";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310070] NITA";"53";"5310";"5310070";"2106";"1";"0";"68";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310071] MAGEPANDA";"53";"5310";"5310071";"70";"0";"0";"4";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310080] ALOK";"53";"5310";"5310080";"37";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310081] ALOK BARAT";"53";"5310";"5310081";"35";"0";"0";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"67";"0";"0";"3";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310] SIKKA";"53";"5310";"5310999";"13873";"8";"1";"517";"738"
