"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_utp_seluruhnya_dijual";"persentase_utp_sebagian_besar_dijual";"persentase_utp_sebagian_besar_dikonsumsi";"persentase_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310010] PAGA";"53";"5310";"5310010";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310011] MEGO";"53";"5310";"5310011";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310012] TANA WAWO";"53";"5310";"5310012";"0.00";"80.00";"20.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310020] LELA";"53";"5310";"5310020";"56.52";"39.13";"4.35";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310030] BOLA";"53";"5310";"5310030";"85.29";"13.24";"1.47";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310031] DORENG";"53";"5310";"5310031";"34.62";"61.54";"0.00";"3.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310032] MAPITARA";"53";"5310";"5310032";"50.00";"50.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310040] TALIBURA";"53";"5310";"5310040";"5.26";"84.21";"10.53";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310041] WAIGETE";"53";"5310";"5310041";"50.00";"50.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310050] KEWAPANTE";"53";"5310";"5310050";"70.00";"20.00";"10.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"17.33";"71.33";"10.67";"0.67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310052] KANGAE";"53";"5310";"5310052";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310062] KOTING";"53";"5310";"5310062";"0.00";"100.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310070] NITA";"53";"5310";"5310070";"59.48";"39.87";"0.65";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0.00";"100.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3126";"[5310] SIKKA";"53";"5310";"5310999";"44.83";"49.78";"4.96";"0.43"
