"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"3";"14";"53";"568";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"8";"19";"86";"335";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"4";"1";"0";"229";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"4";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"0";"1";"1";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"6";"16";"77";"333";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"40";"15";"202";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"3";"2";"140";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"1";"0";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"0";"2";"1";"13";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"7";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310070] NITA";"53";"5310";"5310070";"1";"12";"22";"222";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"10";"271";"261";"794";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"1";"2";"3";"16";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"5";"7";"18";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"6";"6";"33";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"41";"393";"535";"2921";"21"
