tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_seluruhnya_dijual;n_utp_sebagian_besar_dijual;n_utp_sebagian_besar_dikonsumsi_sendiri;n_utp_seluruhnya_dikonsumsi_sendiri;n_utp_belum_dijual
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310070] NITA;53;5310;5310070;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310071] MAGEPANDA;53;5310;5310071;0;1;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
