"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_obat_daun_ungu_dipanen_sendiri";"n_rtup_obat_daun_ungu_diijonkan";"n_rtup_obat_daun_ungu_ditebaskan";"n_rtup_obat_daun_ungu_tidak_panen";"n_rtup_obat_daun_ungu_belum_panen";"n_rtup_obat_dlingo_dipanen_sendiri";"n_rtup_obat_dlingo_diijonkan";"n_rtup_obat_dlingo_ditebaskan";"n_rtup_obat_dlingo_tidak_panen";"n_rtup_obat_dlingo_belum_panen";"n_rtup_obat_jati_belanda_dipanen_sendiri";"n_rtup_obat_jati_belanda_diijonkan";"n_rtup_obat_jati_belanda_ditebaskan";"n_rtup_obat_jati_belanda_tidak_panen";"n_rtup_obat_jati_belanda_belum_panen";"n_rtup_obat_jojoba_dipanen_sendiri";"n_rtup_obat_jojoba_diijonkan";"n_rtup_obat_jojoba_ditebaskan";"n_rtup_obat_jojoba_tidak_panen";"n_rtup_obat_jojoba_belum_panen";"n_rtup_obat_kapulaga_dipanen_sendiri";"n_rtup_obat_kapulaga_diijonkan";"n_rtup_obat_kapulaga_ditebaskan";"n_rtup_obat_kapulaga_tidak_panen";"n_rtup_obat_kapulaga_belum_panen";"n_rtup_obat_lavander_dipanen_sendiri";"n_rtup_obat_lavander_diijonkan";"n_rtup_obat_lavander_ditebaskan";"n_rtup_obat_lavander_tidak_panen";"n_rtup_obat_lavander_belum_panen";"n_rtup_obat_mahkota_dewa_dipanen_sendiri";"n_rtup_obat_mahkota_dewa_diijonkan";"n_rtup_obat_mahkota_dewa_ditebaskan";"n_rtup_obat_mahkota_dewa_tidak_panen";"n_rtup_obat_mahkota_dewa_belum_panen";"n_rtup_obat_mengkudu_dipanen_sendiri";"n_rtup_obat_mengkudu_diijonkan";"n_rtup_obat_mengkudu_ditebaskan";"n_rtup_obat_mengkudu_tidak_panen";"n_rtup_obat_mengkudu_belum_panen";"n_rtup_obat_paliasa_dipanen_sendiri";"n_rtup_obat_paliasa_diijonkan";"n_rtup_obat_paliasa_ditebaskan";"n_rtup_obat_paliasa_tidak_panen";"n_rtup_obat_paliasa_belum_panen";"n_rtup_obat_salam_dipanen_sendiri";"n_rtup_obat_salam_diijonkan";"n_rtup_obat_salam_ditebaskan";"n_rtup_obat_salam_tidak_panen";"n_rtup_obat_salam_belum_panen";"n_rtup_obat_sereh_dipanen_sendiri";"n_rtup_obat_sereh_diijonkan";"n_rtup_obat_sereh_ditebaskan";"n_rtup_obat_sereh_tidak_panen";"n_rtup_obat_sereh_belum_panen";"n_rtup_obat_sembung_dipanen_sendiri";"n_rtup_obat_sembung_diijonkan";"n_rtup_obat_sembung_ditebaskan";"n_rtup_obat_sembung_tidak_panen";"n_rtup_obat_sembung_belum_panen";"n_rtup_obat_sirih_dipanen_sendiri";"n_rtup_obat_sirih_diijonkan";"n_rtup_obat_sirih_ditebaskan";"n_rtup_obat_sirih_tidak_panen";"n_rtup_obat_sirih_belum_panen";"n_rtup_obat_tribulus_dipanen_sendiri";"n_rtup_obat_tribulus_diijonkan";"n_rtup_obat_tribulus_ditebaskan";"n_rtup_obat_tribulus_tidak_panen";"n_rtup_obat_tribulus_belum_panen";"n_rtup_obat_zodiak_dipanen_sendiri";"n_rtup_obat_zodiak_diijonkan";"n_rtup_obat_zodiak_ditebaskan";"n_rtup_obat_zodiak_tidak_panen";"n_rtup_obat_zodiak_belum_panen";"n_rtup_obat_cincau_dipanen_sendiri";"n_rtup_obat_cincau_diijonkan";"n_rtup_obat_cincau_ditebaskan";"n_rtup_obat_cincau_tidak_panen";"n_rtup_obat_cincau_belum_panen";"n_rtup_obat_buah_merah_dipanen_sendiri";"n_rtup_obat_buah_merah_diijonkan";"n_rtup_obat_buah_merah_ditebaskan";"n_rtup_obat_buah_merah_tidak_panen";"n_rtup_obat_buah_merah_belum_panen";"n_rtup_obat_jeruk_nipis_dipanen_sendiri";"n_rtup_obat_jeruk_nipis_diijonkan";"n_rtup_obat_jeruk_nipis_ditebaskan";"n_rtup_obat_jeruk_nipis_tidak_panen";"n_rtup_obat_jeruk_nipis_belum_panen";"n_rtup_obat_lainnya_dipanen_sendiri";"n_rtup_obat_lainnya_diijonkan";"n_rtup_obat_lainnya_ditebaskan";"n_rtup_obat_lainnya_tidak_panen";"n_rtup_obat_lainnya_belum_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"21";"0";"0";"1";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"42";"0";"0";"4";"2";"0";"0";"0";"0";"0";"92";"2";"0";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"1";"1";"8";"1";"0";"0";"0";"0"
