"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"sum_luas_tanam";"mean_luas_tanam_per_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310010] PAGA";"53";"5310";"5310010";"1";"0.01";"100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310011] MEGO";"53";"5310";"5310011";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"0.10";"1000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310020] LELA";"53";"5310";"5310020";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310030] BOLA";"53";"5310";"5310030";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310031] DORENG";"53";"5310";"5310031";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310040] TALIBURA";"53";"5310";"5310040";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310041] WAIGETE";"53";"5310";"5310041";"13";"3.00";"2307.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"0.97";"1616.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310052] KANGAE";"53";"5310";"5310052";"10";"2.27";"2270.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310061] PALUE";"53";"5310";"5310061";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310062] KOTING";"53";"5310";"5310062";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310063] NELLE";"53";"5310";"5310063";"2";"0.23";"1150.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310070] NITA";"53";"5310";"5310070";"1";"0.02";"200.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"0.10";"1000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310080] ALOK";"53";"5310";"5310080";"5";"0.26";"520.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310081] ALOK BARAT";"53";"5310";"5310081";"36";"1.88";"522.22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"4.94";"8233.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1214";"[5310] SIKKA";"53";"5310";"5310999";"82";"13.78";"1680.48"
