"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"sum_luas_tanam";"mean_luas_tanam_per_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310010] PAGA";"53";"5310";"5310010";"1104";"159.94";"1448.72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310011] MEGO";"53";"5310";"5310011";"539";"138.39";"2567.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"365";"64.58";"1769.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310020] LELA";"53";"5310";"5310020";"401";"42.90";"1069.91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310030] BOLA";"53";"5310";"5310030";"560";"23.56";"420.68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310031] DORENG";"53";"5310";"5310031";"107";"12.09";"1129.67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"23.95";"1710.64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1398";"158.35";"1132.70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1490";"187.83";"1260.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"447";"101.47";"2269.93"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1114";"134.22";"1204.83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"241";"13.38";"555.04"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310052] KANGAE";"53";"5310";"5310052";"2055";"524.99";"2554.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310061] PALUE";"53";"5310";"5310061";"1440";"90.52";"628.57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310062] KOTING";"53";"5310";"5310062";"593";"101.25";"1707.46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310063] NELLE";"53";"5310";"5310063";"657";"84.88";"1291.87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310070] NITA";"53";"5310";"5310070";"1378";"105.15";"763.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"693";"78.19";"1128.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310080] ALOK";"53";"5310";"5310080";"1241";"156.35";"1259.83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"970";"83.49";"860.72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1556";"621.88";"3996.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310] SIKKA";"53";"5310";"5310999";"18489";"2907.34";"1572.47"
