"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_palawija_jagung";"n_utp_palawija_gandum_gabungan";"n_utp_palawija_jagung_hibrida";"n_utp_palawija_jagung_komposit";"n_utp_palawija_jagung_lokal";"n_utp_palawija_kedelai";"n_utp_palawija_kacang_tanah";"n_utp_palawija_kacang_hijau";"n_utp_palawija_ubi_kayu";"n_utp_palawija_ubi_jalar";"n_utp_palawija_sorgum";"n_utp_palawija_gandum";"n_utp_palawija_gandum_hitam";"n_utp_palawija_talas";"n_utp_palawija_ganyong";"n_utp_palawija_garut";"n_utp_palawija_hotong";"n_utp_palawija_gembili";"n_utp_palawija_kimpul";"n_utp_palawija_iles_iles";"n_utp_palawija_juwawut";"n_utp_palawija_gadung";"n_utp_palawija_suweg";"n_utp_palawija_ubi_sawut";"n_utp_palawija_kacang_babi";"n_utp_palawija_kacang_bogor";"n_utp_palawija_kacang_gude";"n_utp_palawija_kacang_komak";"n_utp_palawija_kacang_koro_benguk";"n_utp_palawija_kacang_merah";"n_utp_palawija_kacang_nagara";"n_utp_palawija_kacang_rawai";"n_utp_palawija_kacang_tunggak";"n_utp_palawija_porang";"n_utp_palawija_walur";"n_utp_palawija_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1120";"0";"17";"1";"1102";"0";"3";"27";"515";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"542";"0";"86";"0";"457";"0";"4";"4";"408";"45";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"365";"0";"0";"1";"364";"0";"17";"0";"134";"64";"0";"0";"0";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"404";"0";"34";"0";"381";"0";"16";"5";"982";"10";"0";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"569";"0";"6";"0";"564";"0";"6";"10";"866";"73";"0";"0";"0";"388";"0";"0";"0";"87";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"1";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"108";"0";"0";"0";"108";"0";"3";"2";"228";"19";"0";"0";"0";"734";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"0";"1";"0";"139";"0";"46";"14";"192";"2";"0";"0";"0";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1461";"0";"136";"0";"1327";"0";"133";"83";"836";"304";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1530";"0";"87";"14";"1435";"0";"209";"308";"628";"16";"2";"0";"0";"143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"3";"0";"0";"0";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"456";"0";"11";"0";"445";"0";"4";"2";"15";"19";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1128";"0";"21";"6";"1110";"0";"220";"316";"615";"17";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"248";"0";"0";"0";"248";"0";"23";"21";"96";"11";"0";"0";"0";"552";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2100";"0";"40";"10";"2055";"0";"109";"1263";"1315";"14";"2";"0";"0";"73";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"272";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1443";"0";"2";"0";"1443";"0";"3";"755";"1295";"17";"16";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"0";"0";"0";"758";"0";"0";"1549"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"598";"0";"22";"0";"580";"0";"202";"8";"644";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"658";"0";"26";"2";"637";"0";"14";"75";"610";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1401";"0";"42";"1";"1374";"0";"195";"7";"1519";"127";"1";"0";"0";"216";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"10";"0";"66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"710";"0";"33";"1";"679";"0";"295";"183";"66";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"1";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1266";"0";"178";"5";"1220";"0";"136";"816";"397";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"0";"0";"0";"6";"0";"0";"2";"0";"0";"0";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"985";"0";"52";"36";"926";"0";"410";"29";"146";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1580";"0";"526";"6";"1380";"0";"62";"703";"754";"4";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"18812";"0";"1320";"83";"17974";"0";"2110";"4631";"12261";"779";"24";"0";"0";"2323";"0";"0";"0";"91";"0";"0";"19";"0";"0";"0";"0";"0";"390";"0";"0";"13";"0";"0";"760";"53";"0";"1691"
