"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310010] PAGA";"53";"5310";"5310010";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310012] TANA WAWO";"53";"5310";"5310012";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310020] LELA";"53";"5310";"5310020";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310030] BOLA";"53";"5310";"5310030";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310031] DORENG";"53";"5310";"5310031";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310040] TALIBURA";"53";"5310";"5310040";"22";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310041] WAIGETE";"53";"5310";"5310041";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310050] KEWAPANTE";"53";"5310";"5310050";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310052] KANGAE";"53";"5310";"5310052";"8";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310061] PALUE";"53";"5310";"5310061";"25";"0";"0";"25";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310062] KOTING";"53";"5310";"5310062";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310070] NITA";"53";"5310";"5310070";"37";"0";"0";"37";"37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310071] MAGEPANDA";"53";"5310";"5310071";"37";"0";"0";"37";"37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310080] ALOK";"53";"5310";"5310080";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310081] ALOK BARAT";"53";"5310";"5310081";"11";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310] SIKKA";"53";"5310";"5310999";"181";"0";"0";"181";"181"
