"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310020] LELA";"53";"5310";"5310020";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310031] DORENG";"53";"5310";"5310031";"0";"3";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310041] WAIGETE";"53";"5310";"5310041";"50";"101";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"6";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310052] KANGAE";"53";"5310";"5310052";"31";"20";"1";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310062] KOTING";"53";"5310";"5310062";"2";"3";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310070] NITA";"53";"5310";"5310070";"5";"5";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310071] MAGEPANDA";"53";"5310";"5310071";"8";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310080] ALOK";"53";"5310";"5310080";"13";"21";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"12";"4";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3211";"[5310] SIKKA";"53";"5310";"5310999";"128";"168";"7";"0";"9"
