"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_sapi_diusahakan_utp";"rerata_produksi_ternak_sapi_potong_diusahakan_utp";"rerata_produksi_ternak_sapi_perah_diusahakan_utp";"rerata_produksi_ternak_kerbau_diusahakan_utp";"rerata_produksi_ternak_kerbau_potong_diusahakan_utp";"rerata_produksi_ternak_kerbau_perah_diusahakan_utp";"rerata_produksi_ternak_kuda_diusahakan_utp";"rerata_produksi_ternak_unta_diusahakan_utp";"rerata_produksi_ternak_rusa_diusahakan_utp";"rerata_produksi_ternak_kambing_diusahakan_utp";"rerata_produksi_ternak_kambing_potong_diusahakan_utp";"rerata_produksi_ternak_kambing_perah_diusahakan_utp";"rerata_produksi_ternak_domba_diusahakan_utp";"rerata_produksi_ternak_domba_potong_diusahakan_utp";"rerata_produksi_ternak_domba_perah_diusahakan_utp";"rerata_produksi_ternak_babi_diusahakan_utp";"rerata_produksi_ternak_keledai_diusahakan_utp";"rerata_produksi_ternak_kelinci_potong_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_pedaging_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_petelur_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_biasa_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_pedaging_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_petelur_diusahakan_utp";"rerata_produksi_ternak_itik_diusahakan_utp";"rerata_produksi_ternak_itik_petelur_diusahakan_utp";"rerata_produksi_ternak_itik_pedaging_diusahakan_utp";"rerata_produksi_ternak_itik_manila_diusahakan_utp";"rerata_produksi_ternak_angsa_diusahakan_utp";"rerata_produksi_ternak_merpati_diusahakan_utp";"rerata_produksi_ternak_puyuh_diusahakan_utp";"rerata_produksi_ternak_puyuh_petelur_diusahakan_utp";"rerata_produksi_ternak_puyuh_pedaging_diusahakan_utp";"rerata_produksi_ternak_kalkun_diusahakan_utp";"rerata_produksi_ternak_burung_unta_diusahakan_utp";"rerata_produksi_ternak_anjing_diusahakan_utp";"rerata_produksi_ternak_cacing_diusahakan_utp";"rerata_produksi_ternak_hamster_diusahakan_utp";"rerata_produksi_ternak_jangkrik_diusahakan_utp";"rerata_produksi_ternak_kucing_diusahakan_utp";"rerata_produksi_ternak_lebah_diusahakan_utp";"rerata_produksi_ternak_marmut_diusahakan_utp";"rerata_produksi_ternak_ulat_sutera_diusahakan_utp";"rerata_produksi_ternak_walet_diusahakan_utp";"rerata_produksi_ternak_ayam_lokal_lain_diusahakan_utp";"rerata_produksi_ternak_unggas_non_pangan_diusahakan_utp";"rerata_produksi_ternak_lainnya_diusahakan_utp";"rerata_produksi_peternakan_diusahakan_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4701.89";"4701.89";"0.00";"0.00";"0.00";"0.00";"10500.00";"0.00";"0.00";"757.27";"757.27";"0.00";"0.00";"0.00";"0.00";"20334.47";"0.00";"0.00";"0.00";"600.00";"600.00";"1407.41";"1407.41";"0.00";"0.00";"229.48";"0.00";"0.00";"229.48";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"327.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5028.75";"0.00";"0.00";"10577.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2011.43";"2011.43";"0.00";"0.00";"0.00";"0.00";"9000.00";"0.00";"0.00";"554.32";"554.32";"0.00";"0.00";"0.00";"0.00";"837.34";"0.00";"0.00";"0.00";"0.00";"0.00";"608.66";"608.66";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"293.06";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"398.44";"0.00";"0.00";"1006.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3596.48";"3596.48";"0.00";"0.00";"0.00";"0.00";"1735.29";"0.00";"0.00";"934.11";"934.11";"0.00";"0.00";"0.00";"0.00";"2761.22";"0.00";"0.00";"14977.33";"1200.00";"15177.33";"505.79";"505.79";"0.00";"0.00";"339.27";"0.00";"0.00";"339.27";"0.00";"210.00";"0.00";"0.00";"0.00";"0.00";"0.00";"383.58";"0.00";"0.00";"0.00";"5.88";"0.00";"0.00";"0.00";"0.00";"4625.00";"0.00";"0.00";"2260.92"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1142.55";"1142.55";"0.00";"0.00";"0.00";"0.00";"4023.92";"0.00";"0.00";"0.00";"0.00";"0.00";"118.24";"118.24";"0.00";"0.00";"75.00";"0.00";"0.00";"75.00";"0.00";"50.00";"0.00";"0.00";"0.00";"0.00";"0.00";"381.95";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2552.99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2125.00";"2125.00";"0.00";"0.00";"0.00";"0.00";"18916.67";"0.00";"0.00";"1138.93";"1138.93";"0.00";"0.00";"0.00";"0.00";"3111.11";"0.00";"0.00";"152000.00";"2391.00";"92156.40";"476.84";"476.84";"0.00";"0.00";"293.21";"0.00";"0.00";"293.21";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"871.26";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5383.33";"0.00";"0.00";"2698.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"10020.45";"10020.45";"0.00";"0.00";"0.00";"0.00";"4000.00";"0.00";"0.00";"864.37";"864.37";"0.00";"0.00";"0.00";"0.00";"2984.28";"0.00";"0.00";"103083.33";"15000.00";"67850.00";"767.96";"767.96";"0.00";"0.00";"254.50";"0.00";"0.00";"254.50";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"787.16";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5000.00";"0.00";"0.00";"2897.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3975.16";"3975.16";"0.00";"1500.00";"1500.00";"0.00";"2000.00";"0.00";"0.00";"799.95";"799.95";"0.00";"0.00";"0.00";"0.00";"2156.16";"0.00";"0.00";"172212.29";"0.00";"172212.29";"324.57";"324.57";"0.00";"0.00";"42.81";"0.00";"0.00";"42.81";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"424.20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"250.00";"0.00";"0.00";"3041.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"3248.74";"3248.74";"0.00";"3205.88";"3205.88";"0.00";"2701.39";"0.00";"0.00";"689.74";"689.74";"0.00";"0.00";"0.00";"0.00";"1723.15";"0.00";"0.00";"719866.67";"4320.00";"540980.00";"913.68";"913.68";"0.00";"0.00";"153.80";"0.00";"0.00";"153.80";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"160.56";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1011.25";"0.00";"0.00";"4082.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"6272.73";"6272.73";"0.00";"0.00";"0.00";"0.00";"3550.00";"0.00";"0.00";"919.07";"919.07";"0.00";"0.00";"0.00";"0.00";"5939.95";"0.00";"0.00";"673161.67";"0.00";"673161.67";"494.48";"494.48";"0.00";"0.00";"354.55";"0.00";"0.00";"354.55";"0.00";"512.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2189.02";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3241.69";"0.00";"0.00";"6780.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4645.76";"4645.76";"0.00";"0.00";"0.00";"0.00";"2044.25";"0.00";"0.00";"1196.96";"1196.96";"0.00";"0.00";"0.00";"0.00";"4887.02";"0.00";"0.00";"150534.58";"500.00";"138993.46";"473.36";"473.36";"0.00";"0.00";"772.23";"0.00";"0.00";"772.23";"500.00";"1375.00";"0.00";"0.00";"0.00";"0.00";"0.00";"360.71";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1950.62";"0.00";"0.00";"5174.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6320.25";"6320.25";"0.00";"0.00";"0.00";"0.00";"1000.00";"0.00";"0.00";"1093.76";"1093.76";"0.00";"0.00";"0.00";"0.00";"6035.29";"0.00";"0.00";"19577.78";"0.00";"19577.78";"530.97";"530.97";"0.00";"0.00";"217.56";"0.00";"0.00";"217.56";"0.00";"407.14";"0.00";"0.00";"0.00";"166.67";"0.00";"400.23";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"37500.00";"1456.25";"0.00";"0.00";"4332.90"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"4991.73";"4991.73";"0.00";"3551.30";"3551.30";"0.00";"2682.89";"0.00";"0.00";"740.18";"740.18";"0.00";"0.00";"0.00";"0.00";"4041.50";"0.00";"0.00";"208174.26";"4493.50";"184131.30";"483.47";"483.47";"0.00";"0.00";"246.52";"0.00";"0.00";"246.52";"166.67";"499.17";"0.00";"0.00";"0.00";"166.67";"0.00";"327.84";"0.00";"0.00";"0.00";"1.98";"8000.00";"0.00";"0.00";"21500.00";"2192.37";"0.00";"0.00";"3432.87"
