"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310010] PAGA";"53";"5310";"5310010";"13327531";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310011] MEGO";"53";"5310";"5310011";"11423442";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310012] TANA WAWO";"53";"5310";"5310012";"9519425";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310020] LELA";"53";"5310";"5310020";"8567992";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310030] BOLA";"53";"5310";"5310030";"7616348";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310031] DORENG";"53";"5310";"5310031";"8568315";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310032] MAPITARA";"53";"5310";"5310032";"3808114";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310040] TALIBURA";"53";"5310";"5310040";"19040330";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310041] WAIGETE";"53";"5310";"5310041";"10472011";"1";"3";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6663472";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310050] KEWAPANTE";"53";"5310";"5310050";"8566794";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"6663006";"0";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310052] KANGAE";"53";"5310";"5310052";"8566650";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310061] PALUE";"53";"5310";"5310061";"7614732";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310062] KOTING";"53";"5310";"5310062";"6662838";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310063] NELLE";"53";"5310";"5310063";"4759140";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310070] NITA";"53";"5310";"5310070";"14277860";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7615396";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310080] ALOK";"53";"5310";"5310080";"6663419";"0";"0";"1";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3807646";"0";"1";"2";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10470944";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2120_2122";"[5310] SIKKA";"53";"5310";"5310999";"184675405";"2";"14";"3";"0";"19";"19"
