"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1056.00";"1533.30";"0.00";"890.50";"2754.45";"4362.26";"57.75";"1072.33";"20.00";"3544.90";"5231.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1904.56";"2944.52";"2256.40";"322.31";"3106.85";"9548.08";"2050.59";"1342.44";"0.00";"9557.45";"11575.48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1290.54";"2316.18";"4113.44";"5622.18";"2797.23";"5049.74";"3596.15";"606.31";"0.00";"1192.18";"8232.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1367.75";"1075.80";"0.00";"5000.00";"4046.73";"6709.08";"757.36";"647.19";"0.00";"2250.00";"6557.73"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"765.50";"405.68";"243.00";"6211.25";"1664.33";"3691.98";"166.01";"368.21";"39.00";"3213.99";"4441.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"362.50";"605.57";"8000.00";"3773.49";"1238.29";"5199.95";"252.49";"480.18";"149.67";"1063.00";"6628.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1500.00";"1905.33";"1250.00";"5823.33";"5623.08";"4213.32";"5260.71";"656.90";"0.00";"4956.00";"6044.79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1743.31";"2875.47";"2850.89";"3484.33";"3003.68";"5560.88";"286.16";"1288.63";"397.33";"3194.60";"7940.10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1632.85";"1583.28";"1227.60";"1448.20";"2026.11";"3363.68";"147.52";"937.50";"59.00";"1236.86";"4339.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2850.26";"2980.23";"3441.00";"3582.87";"2345.36";"6536.14";"1954.38";"749.85";"86.50";"4830.24";"10881.40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1625.00";"1216.96";"435.00";"3830.40";"2946.78";"2400.53";"35.46";"290.42";"0.00";"1177.17";"3570.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"214.00";"558.76";"226.00";"8119.22";"2129.93";"5246.52";"392.89";"182.39";"0.00";"4046.11";"6214.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3398.09";"2442.47";"0.00";"0.00";"2574.02";"2169.75";"113.06";"539.65";"0.00";"3336.16";"4131.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1966.67";"671.36";"1558.33";"0.00";"1860.44";"1759.91";"619.08";"166.00";"0.00";"2097.94";"2149.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2089.50";"1186.84";"0.00";"0.00";"1598.05";"3307.27";"314.67";"505.35";"0.00";"610.57";"3850.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1845.71";"1281.70";"0.00";"0.00";"1634.68";"1160.36";"20.13";"746.35";"12.00";"1941.65";"3069.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1564.33";"1126.42";"2649.40";"2103.52";"4160.62";"6131.07";"198.91";"844.57";"12.33";"3394.07";"6775.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2648.00";"1242.74";"0.00";"7078.50";"3227.24";"2010.89";"114.62";"518.19";"0.00";"4735.56";"4358.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"4269.84";"1394.27";"1557.89";"1094.71";"2542.64";"1095.81";"25.94";"1008.78";"80.00";"2115.52";"1844.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2905.90";"879.18";"120.00";"3437.00";"4085.66";"1395.92";"46.05";"728.27";"15.67";"4151.02";"1795.80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3623.34";"2949.07";"3457.73";"2874.38";"4193.06";"2407.03";"56.92";"513.29";"8.25";"2512.03";"4110.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"1986.81";"1744.58";"2671.03";"3330.68";"2478.93";"4315.68";"169.91";"821.93";"115.47";"2718.79";"5518.83"
