"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310010] PAGA";"53";"5310";"5310010";"1120";"159.94";"1428.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310011] MEGO";"53";"5310";"5310011";"542";"138.39";"2553.32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"365";"64.58";"1769.31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310020] LELA";"53";"5310";"5310020";"404";"42.90";"1061.88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310030] BOLA";"53";"5310";"5310030";"569";"23.56";"414.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310031] DORENG";"53";"5310";"5310031";"108";"12.09";"1119.44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"23.95";"1710.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1461";"158.35";"1083.84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1530";"187.83";"1227.64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"456";"101.47";"2225.21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1127";"134.22";"1190.94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"248";"13.38";"539.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310052] KANGAE";"53";"5310";"5310052";"2100";"524.99";"2499.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310061] PALUE";"53";"5310";"5310061";"1443";"90.52";"627.30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310062] KOTING";"53";"5310";"5310062";"598";"101.25";"1693.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310063] NELLE";"53";"5310";"5310063";"658";"84.88";"1289.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310070] NITA";"53";"5310";"5310070";"1401";"105.15";"750.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"710";"78.19";"1101.26"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310080] ALOK";"53";"5310";"5310080";"1266";"156.35";"1234.99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"985";"83.49";"847.61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1580";"621.88";"3935.94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310] SIKKA";"53";"5310";"5310999";"18811";"2907.34";"1545.55"
