tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_ternak_besar_produksi_daging;n_rtup_usaha_ternak_besar_produksi_susu_segar;n_rtup_usaha_ternak_besar_produksi_telur_konsumsi;n_rtup_usaha_ternak_besar_produksi_telur_tetas;n_rtup_usaha_ternak_besar_produksi_semen_ternak;n_rtup_usaha_ternak_besar_produksi_embrio;n_rtup_usaha_ternak_besar_produksi_madu;n_rtup_usaha_ternak_besar_produksi_liur_atau_sarang;n_rtup_usaha_ternak_besar_produksi_bulu;n_rtup_usaha_ternak_besar_produksi_kepompong;n_rtup_usaha_ternak_besar_produksi_kulit;n_rtup_usaha_ternak_besar_produksi_lilin_malam;jumlah;n_rtup_usaha_ternak_besar
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;152;0;0;0;0;0;0;0;0;0;0;0;152;152
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;211;0;0;0;0;0;0;0;0;0;0;0;211;211
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;35;0;0;0;0;0;0;0;0;0;0;0;35;35
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;326;0;0;0;0;0;0;0;0;0;0;0;326;326
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;8;0;0;0;0;0;0;0;0;0;0;0;8;8
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;22;0;0;0;0;0;0;0;0;0;0;0;22;22
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310070] NITA;53;5310;5310070;49;0;0;0;0;0;0;0;0;0;0;0;49;49
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310071] MAGEPANDA;53;5310;5310071;390;0;0;0;0;0;0;0;0;0;0;0;390;390
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310080] ALOK;53;5310;5310080;11;0;0;0;0;0;0;0;0;0;0;0;11;11
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310081] ALOK BARAT;53;5310;5310081;199;0;0;0;0;0;0;0;0;0;0;0;199;199
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310082] ALOK TIMUR;53;5310;5310082;119;0;0;0;0;0;0;0;0;0;0;0;119;119
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310] SIKKA;53;5310;5310999;4427;0;0;0;0;0;0;0;0;0;0;0;4427;4427
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_18_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0;0;0;0;0;0
