"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_ruta_panen_sendiri";"n_ruta_ijon";"n_ruta_tebas";"n_ruta_tdk_panen";"n_ruta_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310011] MEGO";"53";"5310";"5310011";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310030] BOLA";"53";"5310";"5310030";"80";"0";"0";"2";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310031] DORENG";"53";"5310";"5310031";"7";"3";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310040] TALIBURA";"53";"5310";"5310040";"30";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310041] WAIGETE";"53";"5310";"5310041";"338";"9";"32";"3";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310050] KEWAPANTE";"53";"5310";"5310050";"47";"0";"0";"4";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"39";"0";"0";"3";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310052] KANGAE";"53";"5310";"5310052";"190";"0";"1";"7";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310062] KOTING";"53";"5310";"5310062";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310063] NELLE";"53";"5310";"5310063";"143";"1";"1";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310080] ALOK";"53";"5310";"5310080";"29";"1";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"227";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3121";"[5310] SIKKA";"53";"5310";"5310999";"1137";"14";"36";"23";"31"
