tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_usaha_ternak_besar_produksi_daging;n_utp_usaha_ternak_besar_produksi_susu_segar;n_utp_usaha_ternak_besar_produksi_telur_konsumsi;n_utp_usaha_ternak_besar_produksi_telur_tetas;n_utp_usaha_ternak_besar_produksi_semen_ternak;n_utp_usaha_ternak_besar_produksi_embrio;n_utp_usaha_ternak_besar_produksi_madu;n_utp_usaha_ternak_besar_produksi_liur_atau_sarang;n_utp_usaha_ternak_besar_produksi_bulu;n_utp_usaha_ternak_besar_produksi_kepompong;n_utp_usaha_ternak_besar_produksi_kulit;n_utp_usaha_ternak_besar_produksi_lilin_malam;jumlah;n_utp_usaha_ternak_besar
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310010] PAGA;53;5310;5310010;2;0;0;0;0;0;0;0;0;0;0;0;2;2
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310011] MEGO;53;5310;5310011;27;0;0;0;0;0;0;0;0;0;0;0;27;27
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310012] TANA WAWO;53;5310;5310012;2;0;0;0;0;0;0;0;0;0;0;0;2;2
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310042] WAIBLAMA;53;5310;5310042;1;0;0;0;0;0;0;0;0;0;0;0;1;1
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_20_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0;0;0;0;0;0
