"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_budidaya_3101";"n_utp_budidaya_3102";"n_utp_budidaya_3103";"n_utp_budidaya_3104";"n_utp_budidaya_3105";"n_utp_budidaya_3106";"n_utp_budidaya_3107";"n_utp_budidaya_3108";"n_utp_budidaya_3109";"n_utp_budidaya_3110";"n_utp_budidaya_3111";"n_utp_budidaya_3112";"n_utp_budidaya_3113";"n_utp_budidaya_3114";"n_utp_budidaya_3115";"n_utp_budidaya_3116";"n_utp_budidaya_3117";"n_utp_budidaya_3118";"n_utp_budidaya_3119";"n_utp_budidaya_3120";"n_utp_budidaya_3121";"n_utp_budidaya_3123";"n_utp_budidaya_3124";"n_utp_budidaya_3125";"n_utp_budidaya_3126";"n_utp_budidaya_3127";"n_utp_budidaya_3128";"n_utp_budidaya_3129";"n_utp_budidaya_3130";"n_utp_budidaya_3131";"n_utp_budidaya_3132";"n_utp_budidaya_3198";"n_utp_budidaya_3199";"n_utp_budidaya_2306"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1338";"1";"385";"110";"0";"888";"0";"221";"1";"0";"1";"0";"800";"0";"291";"0";"0";"0";"0";"6";"1";"51";"39";"138";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1739";"2";"177";"1164";"0";"513";"0";"894";"0";"0";"1";"0";"1361";"0";"796";"0";"0";"0";"0";"101";"6";"46";"212";"1172";"0";"169";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1999";"2";"819";"104";"0";"952";"0";"348";"1";"0";"0";"0";"1007";"0";"475";"0";"0";"0";"0";"47";"4";"202";"179";"106";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1394";"1";"1";"6";"0";"1353";"0";"321";"0";"0";"0";"0";"876";"0";"0";"0";"0";"0";"0";"35";"0";"0";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1147";"3";"24";"6";"0";"437";"0";"626";"0";"0";"0";"0";"1057";"0";"46";"0";"0";"0";"0";"3";"26";"1";"61";"34";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"805";"0";"34";"1";"0";"413";"0";"121";"0";"0";"0";"0";"586";"0";"18";"0";"0";"0";"0";"2";"0";"150";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3434";"129";"87";"244";"0";"975";"0";"2218";"0";"0";"3";"0";"2163";"0";"1903";"0";"0";"0";"0";"49";"146";"0";"291";"310";"1";"172";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1504";"1";"319";"0";"0";"1180";"0";"76";"0";"0";"0";"0";"362";"0";"128";"0";"0";"0";"0";"2";"1";"0";"2";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1015";"0";"79";"13";"0";"858";"0";"42";"0";"0";"2";"0";"168";"0";"13";"0";"0";"0";"0";"0";"0";"32";"2";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"629";"0";"198";"9";"0";"458";"0";"38";"0";"0";"0";"0";"70";"0";"63";"0";"0";"0";"0";"1";"0";"3";"4";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1306";"3";"230";"84";"0";"852";"0";"77";"0";"0";"0";"0";"288";"0";"83";"6";"0";"0";"0";"30";"2";"229";"28";"70";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"38302";"217";"4168";"5424";"0";"19035";"0";"15139";"3";"0";"12";"0";"20027";"0";"13966";"43";"0";"0";"0";"1565";"356";"1252";"2797";"5211";"6";"562";"0";"0";"0";"0";"0";"1";"0";"0";"36"
