"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"245.00";"835.27";"0.00";"0.63";"786.99";"3092.94";"9.06";"126.09";"0.01";"151.80";"5247.78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"365.62";"1749.96";"4.72";"3.50";"586.03";"8170.38";"46.31";"113.41";"0.00";"283.81";"11323.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"171.54";"1920.54";"41.88";"54.06";"1333.75";"4461.36";"69.16";"126.89";"0.00";"11.46";"8190.63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"5.61";"569.87";"0.00";"2.56";"53.90";"5598.92";"8.54";"6.96";"0.00";"2.31";"6248.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"3.57";"198.39";"0.57";"23.19";"508.70";"3633.40";"10.61";"26.63";"0.02";"127.48";"4532.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0.67";"264.30";"3.71";"66.51";"919.53";"5318.13";"23.07";"56.35";"0.21";"292.37";"6944.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1.14";"1282.76";"0.95";"13.28";"790.48";"4254.94";"27.98";"15.47";"0.00";"94.15";"6481.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"180.69";"2162.70";"5.88";"14.38";"354.02";"4201.58";"18.57";"512.67";"0.55";"190.46";"7641.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"137.47";"1042.45";"1.35";"1.59";"166.14";"3093.76";"7.83";"55.91";"0.05";"143.18";"4649.73"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"288.15";"2595.45";"12.57";"32.73";"828.45";"6225.65";"57.13";"183.12";"0.21";"876.62";"11100.09"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1.57";"733.00";"0.21";"9.24";"849.05";"1756.38";"10.49";"32.94";"0.00";"105.10";"3497.97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0.39";"259.23";"0.27";"43.91";"526.08";"5470.38";"14.64";"65.11";"0.00";"196.96";"6576.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"11.17";"1654.34";"0.00";"0.00";"89.98";"1370.43";"17.50";"67.56";"0.00";"717.67";"3928.64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"3.15";"647.73";"4.99";"0.00";"106.17";"1307.50";"4.29";"0.44";"0.00";"76.09";"2150.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"32.35";"724.78";"0.00";"0.00";"48.24";"2964.26";"17.05";"46.94";"0.00";"79.39";"3913.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"12.06";"811.38";"0.00";"0.00";"105.32";"963.17";"6.35";"154.70";"0.02";"968.10";"3021.12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"118.46";"666.34";"3.50";"11.66";"236.02";"5592.38";"21.10";"100.50";"0.01";"317.02";"7066.98"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1435.04";"597.55";"0.00";"16.96";"416.29";"1302.58";"7.78";"23.38";"0.00";"480.36";"4279.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"37.40";"655.12";"4.91";"5.37";"52.56";"496.45";"4.57";"18.03";"0.03";"91.17";"1365.62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"45.58";"402.93";"0.05";"2.63";"156.30";"423.48";"12.83";"11.14";"0.02";"262.02";"1316.97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"45.34";"1612.91";"17.08";"27.45";"276.13";"1090.57";"8.68";"30.93";"0.01";"59.55";"3168.65"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"161.78";"1064.26";"4.64";"14.23";"400.43";"3308.81";"17.74";"99.54";"0.07";"250.62";"5322.12"
