"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310010] PAGA";"53";"5310";"5310010";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310011] MEGO";"53";"5310";"5310011";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310012] TANA WAWO";"53";"5310";"5310012";"38";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310020] LELA";"53";"5310";"5310020";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310030] BOLA";"53";"5310";"5310030";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310031] DORENG";"53";"5310";"5310031";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310040] TALIBURA";"53";"5310";"5310040";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310041] WAIGETE";"53";"5310";"5310041";"27";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310042] WAIBLAMA";"53";"5310";"5310042";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310050] KEWAPANTE";"53";"5310";"5310050";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310052] KANGAE";"53";"5310";"5310052";"144";"145"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310061] PALUE";"53";"5310";"5310061";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310062] KOTING";"53";"5310";"5310062";"60";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310063] NELLE";"53";"5310";"5310063";"180";"180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310070] NITA";"53";"5310";"5310070";"20";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310080] ALOK";"53";"5310";"5310080";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"91";"92"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310] SIKKA";"53";"5310";"5310999";"654";"656"
