"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_tanaman_umur_kurang2thn";"n_tanaman_umur_2sampai4thn";"n_tanaman_umur_4sampai6thn";"n_tanaman_umur_lebih6thn";"jumlah"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310010] PAGA";"53";"5310";"5310010";"224";"596";"1346";"3348";"5514"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310011] MEGO";"53";"5310";"5310011";"253";"844";"855";"1125";"3077"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310012] TANA WAWO";"53";"5310";"5310012";"792";"1880";"2177";"2534";"7383"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310020] LELA";"53";"5310";"5310020";"175";"349";"75";"370";"969"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310030] BOLA";"53";"5310";"5310030";"200";"476";"476";"1710";"2862"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310031] DORENG";"53";"5310";"5310031";"206";"289";"253";"1815";"2563"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310032] MAPITARA";"53";"5310";"5310032";"256";"554";"306";"609";"1725"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310040] TALIBURA";"53";"5310";"5310040";"277734";"4990";"5404";"13094";"301222"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310041] WAIGETE";"53";"5310";"5310041";"1736";"2245";"2296";"5226";"11503"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1428";"2520";"1650";"2436";"8034"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310050] KEWAPANTE";"53";"5310";"5310050";"133";"313";"657";"1268";"2371"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"455";"473";"576";"818";"2322"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310052] KANGAE";"53";"5310";"5310052";"557";"923";"639";"1486";"3605"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310061] PALUE";"53";"5310";"5310061";"18";"6";"0";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310062] KOTING";"53";"5310";"5310062";"551";"153";"169";"458";"1331"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310063] NELLE";"53";"5310";"5310063";"80";"66";"106";"138";"390"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310070] NITA";"53";"5310";"5310070";"1496";"2624";"2560";"5107";"11787"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310071] MAGEPANDA";"53";"5310";"5310071";"328";"360";"319";"1122";"2129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310080] ALOK";"53";"5310";"5310080";"87";"79";"71";"554";"791"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310081] ALOK BARAT";"53";"5310";"5310081";"12";"16";"119";"65";"212"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"456";"361";"771";"2187";"3775"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310] SIKKA";"53";"5310";"5310999";"287177";"20117";"20825";"45470";"373589"
