"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"652";"166.45";"2552.91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"452";"130.40";"2884.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"239";"47.61";"1992.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310020] LELA";"53";"5310";"5310020";"5";"0.30";"600.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"4";"0.40";"1000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310031] DORENG";"53";"5310";"5310031";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0.15";"1500.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"453";"143.84";"3175.27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"287";"56.67";"1974.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"155";"63.00";"4064.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0.59";"1966.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"3";"2.05";"6833.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310061] PALUE";"53";"5310";"5310061";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"17";"6.69";"3935.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"8";"1.80";"2250.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310070] NITA";"53";"5310";"5310070";"263";"73.08";"2778.70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1352";"719.59";"5322.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"24";"12.52";"5216.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"35";"18.61";"5317.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"48";"22.34";"4654.16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"4001";"1466.10";"3664.33"
