"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_art_10thn_plus";"n_putp_tp_h_kebun_ternak";"n_putp_perikanan_kehutanan";"n_putp_jasa_pertanian";"n_pekerja_tp_h_kebun_ternak";"n_pekerja_perikanan_kehutanan";"n_pekerja_jasa_pertanian";"n_putp_lainnya";"n_pekerja_lainnya";"n_putp_all";"n_putp_all_non_jasa_pertanian";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"6296";"2898";"598";"16";"2839";"172";"3";"651";"1095";"2977";"2974";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"5985";"2404";"427";"24";"3443";"3";"10";"535";"591";"2408";"2404";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"4734";"1770";"555";"3";"2866";"0";"0";"153";"312";"1770";"1770";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"4258";"1970";"216";"2";"1784";"10";"2";"1039";"1116";"2000";"2000";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"5045";"2230";"571";"15";"2297";"32";"8";"986";"1206";"2240";"2239";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"5663";"2283";"330";"20";"3203";"1";"1";"784";"773";"2283";"2283";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"3280";"1439";"106";"2";"1702";"0";"0";"148";"411";"1439";"1439";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"10244";"4343";"2868";"19";"4974";"278";"37";"582";"1182";"4674";"4674";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"11163";"4940";"1035";"17";"5504";"24";"33";"1677";"1502";"4966";"4965";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3809";"1680";"563";"3";"2018";"0";"74";"169";"184";"1680";"1680";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4576";"2077";"503";"8";"1382";"13";"2";"1317";"1298";"2135";"2135";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4530";"1776";"926";"6";"2570";"0";"0";"1671";"603";"1776";"1776";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"8337";"3421";"732";"10";"3409";"86";"3";"2032";"2481";"3462";"3461";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"4768";"1880";"175";"0";"2704";"95";"1";"330";"1139";"1890";"1890";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"3256";"1318";"267";"11";"1567";"2";"5";"1217";"921";"1319";"1318";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"2910";"1083";"252";"6";"1473";"4";"1";"1068";"1181";"1085";"1084";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"9290";"3975";"1105";"29";"3963";"1";"6";"2565";"2398";"3983";"3977";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5420";"2580";"375";"30";"2223";"112";"19";"347";"763";"2705";"2705";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"6362";"2484";"618";"7";"1916";"487";"3";"1183";"1896";"2923";"2920";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5511";"2109";"960";"8";"722";"523";"13";"1087";"1687";"2887";"2885";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6390";"2809";"870";"1";"1984";"66";"0";"158";"2916";"3086";"3086";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"121827";"51469";"14052";"237";"54543";"1909";"221";"19699";"25655";"53688";"53665";"53688"
