"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pohon_perkebunan_kelor_2306";"n_pohon_perkebunan_aren_3101";"n_pohon_perkebunan_asam_jawa_3102";"n_pohon_perkebunan_cengkeh_3103";"n_pohon_perkebunan_gambir_3104";"n_pohon_perkebunan_jambu_mete_3105";"n_pohon_perkebunan_jarak_pagar_3106";"n_pohon_perkebunan_kakao_3107";"n_pohon_perkebunan_kapok_3108";"n_pohon_perkebunan_karet_3109";"n_pohon_perkebunan_kayumanis_3110";"n_pohon_perkebunan_kelapa_sawit_3111";"n_pohon_perkebunan_kelapa_3112";"n_pohon_perkebunan_kemenyan_3113";"n_pohon_perkebunan_kemiri_3114";"n_pohon_perkebunan_kemiri_sunan_3115";"n_pohon_perkebunan_kenanga_3116";"n_pohon_perkebunan_kina_3117";"n_pohon_perkebunan_klerek_3118";"n_pohon_perkebunan_kopi_3119";"n_pohon_perkebunan_lada_3120";"n_pohon_perkebunan_lontar_3121";"n_pohon_perkebunan_panili_3123";"n_pohon_perkebunan_pala_3124";"n_pohon_perkebunan_pandan_anyam_3125";"n_pohon_perkebunan_pinang_jambe_3126";"n_pohon_perkebunan_sagu_3127";"n_pohon_perkebunan_soga_3128";"n_pohon_perkebunan_teh_3129";"n_pohon_perkebunan_andaliman_3130";"n_pohon_perkebunan_gayam_3131";"n_pohon_perkebunan_kurma_3132";"n_pohon_perkebunan_kelapa_nira_3198";"n_pohon_perkebunan_lainnya_3199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"161";"165";"215";"0";"10441";"0";"140602";"0";"0";"0";"0";"37089";"0";"25115";"0";"0";"0";"0";"1365";"21";"0";"3189";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"119";"0";"249";"0";"2501";"0";"142821";"0";"0";"150";"0";"28777";"0";"86572";"783";"0";"0";"0";"9939";"95";"6";"5897";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"147";"0";"329";"0";"174";"0";"85809";"0";"0";"25";"0";"227";"0";"43319";"251";"0";"0";"0";"26052";"0";"0";"674";"31";"50";"128";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"5";"78";"12";"0";"9921";"0";"42904";"3";"0";"0";"0";"82019";"0";"1343";"0";"0";"0";"0";"225";"2616";"0";"5341";"866";"0";"271";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"315";"8449";"0";"9558";"0";"66600";"0";"0";"0";"0";"64898";"0";"6975";"25";"0";"0";"0";"4669";"1648";"824";"98541";"6146";"0";"2140";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"581";"18001";"0";"11253";"0";"109026";"0";"0";"0";"0";"51912";"0";"11045";"0";"0";"0";"0";"2455";"100";"165";"58638";"15779";"0";"335";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"56";"366";"0";"16487";"0";"32260";"0";"0";"0";"0";"21376";"0";"21191";"75";"0";"0";"0";"1938";"20";"80";"13363";"613";"50";"54";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"1";"1937";"62";"0";"131770";"0";"11055";"0";"0";"0";"0";"57968";"0";"22235";"87";"0";"0";"0";"2152";"548";"239";"3037";"23";"0";"392";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"0";"6258";"3036";"0";"113026";"0";"11413";"0";"0";"0";"0";"29087";"0";"22080";"84";"0";"0";"0";"1569";"37";"5456";"2689";"3496";"5";"52";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"1186";"150";"0";"53514";"0";"14658";"0";"0";"70";"0";"21478";"0";"28876";"161";"0";"0";"0";"95";"0";"0";"290";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
