"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310010] PAGA";"53";"5310";"5310010";"1120";"0";"0";"1120";"1120"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310011] MEGO";"53";"5310";"5310011";"542";"0";"0";"542";"542"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"365";"0";"0";"365";"365"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310020] LELA";"53";"5310";"5310020";"404";"0";"0";"404";"404"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310030] BOLA";"53";"5310";"5310030";"569";"0";"0";"569";"569"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310031] DORENG";"53";"5310";"5310031";"108";"0";"0";"108";"108"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"0";"0";"140";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1461";"0";"0";"1461";"1461"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1530";"0";"0";"1530";"1530"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"456";"0";"0";"456";"456"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1113";"1";"14";"1128";"1128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"247";"0";"1";"248";"248"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310052] KANGAE";"53";"5310";"5310052";"2100";"0";"0";"2100";"2100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310061] PALUE";"53";"5310";"5310061";"1443";"0";"0";"1443";"1443"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310062] KOTING";"53";"5310";"5310062";"598";"0";"0";"598";"598"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310063] NELLE";"53";"5310";"5310063";"656";"0";"2";"658";"658"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310070] NITA";"53";"5310";"5310070";"1401";"0";"0";"1401";"1401"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"710";"0";"0";"710";"710"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310080] ALOK";"53";"5310";"5310080";"1266";"0";"0";"1266";"1266"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"985";"0";"0";"985";"985"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1580";"0";"0";"1580";"1580"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310] SIKKA";"53";"5310";"5310999";"18794";"1";"17";"18812";"18812"
