tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;persentase_rtup_seluruhnya_dijual;persentase_rtup_sebagian_besar_dijual;persentase_rtup_sebagian_besar_dikonsumsi;persentase_rtup_belum_dijual
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310061] PALUE;53;5310;5310061;0.00;100.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310062] KOTING;53;5310;5310062;80.00;20.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310063] NELLE;53;5310;5310063;25.81;74.19;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310070] NITA;53;5310;5310070;55.29;36.47;8.24;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310071] MAGEPANDA;53;5310;5310071;50.68;47.96;1.36;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310080] ALOK;53;5310;5310080;75.00;25.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310081] ALOK BARAT;53;5310;5310081;71.50;26.42;1.04;1.04
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310082] ALOK TIMUR;53;5310;5310082;44.20;42.86;12.95;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310] SIKKA;53;5310;5310999;67.86;30.37;1.41;0.41
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310010] PAGA;53;5310;5310010;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310011] MEGO;53;5310;5310011;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310012] TANA WAWO;53;5310;5310012;95.24;0.00;4.76;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310020] LELA;53;5310;5310020;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310030] BOLA;53;5310;5310030;97.73;1.70;0.00;0.57
