"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310011] MEGO";"53";"5310";"5310011";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310011] MEGO";"53";"5310";"5310011";"10-19,99";"6.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310011] MEGO";"53";"5310";"5310011";"1-1,99";"696.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310011] MEGO";"53";"5310";"5310011";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310011] MEGO";"53";"5310";"5310011";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310011] MEGO";"53";"5310";"5310011";"2-4,99";"356.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310011] MEGO";"53";"5310";"5310011";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310011] MEGO";"53";"5310";"5310011";"50-99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310011] MEGO";"53";"5310";"5310011";"5-9,99";"24.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310011] MEGO";"53";"5310";"5310011";"Usaha Pertanian Tanpa Lahan Pertanian";"69.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310011] MEGO";"53";"5310";"5310011";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2339.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310012] TANA WAWO";"53";"5310";"5310012";"< 1";"1194.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310012] TANA WAWO";"53";"5310";"5310012";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310012] TANA WAWO";"53";"5310";"5310012";"100-199";"0.00";"0.00";"0.00"
