"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310010] PAGA";"53";"5310";"5310010";"5";"1";"6468263";"0";"50";"0";"3652";"3620"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310020] LELA";"53";"5310";"5310020";"5";"1";"25872474";"47";"89";"10";"226";"2210"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310030] BOLA";"53";"5310";"5310030";"5";"1";"45276756";"21";"327";"15";"3204.5";"12338"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310031] DORENG";"53";"5310";"5310031";"5";"1";"12936195";"4";"8";"0";"67";"425"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"58212768";"138";"481";"5";"2838.53";"18119"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"58213931";"97";"585";"4";"14335.1";"21593"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"1";"19404961";"9";"61";"8";"216";"1432"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5";"1";"51746682";"74";"461";"30";"5255";"25503"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5";"1";"25872604";"134";"233";"0";"1355";"6114"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"58214732";"83";"435";"8";"2628";"21115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310062] KOTING";"53";"5310";"5310062";"5";"1";"19405539";"10";"76";"0";"392";"3135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310063] NELLE";"53";"5310";"5310063";"5";"1";"19405354";"5";"94";"3";"344";"3528"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310070] NITA";"53";"5310";"5310070";"5";"1";"51747532";"8";"212";"0";"2067";"16910"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"1";"25873730";"2";"108";"0";"470";"2380"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"32342118";"69";"160";"16";"3960";"18175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"25873670";"15";"128";"36";"607";"5989"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"1";"51747920";"127";"421";"29";"3863.05";"15236"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"588615229";"843";"3929";"164";"45480.18";"177822"
