"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_sertifikat_hak_milik";"n_utp_sertifikat_hak_guna_bangunan";"n_utp_sertifikat_hak_milik_atas_srs";"n_utp_sertifikat_hak_guna_usaha";"n_utp_sertifikat_hak_pakai";"n_utp_letter_c";"n_utp_lahan_garapan";"n_utp_tanpa_dokumen_resmi";"n_utp_sewa_perjanjian_tertulis";"n_utp_sewa_tanpa_perjanjian_tertulis";"n_utp_menggarap_lahan_orang_lain";"n_utp_milik_negara_adat_program_perhutanan_sosial";"n_utp_milik_negara_adat_selain_program_perhutanan_sosial";"n_utp_milik_negara_adat_tanpa_perjanjian_tertulis";"n_utp_menempati_tanpa_izin";"n_utp_lainnya";"n_utp_lebih_dari1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"340";"0";"0";"0";"8";"1200";"7";"111";"32";"62";"549";"0";"0";"0";"0";"13";"306"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"212";"0";"0";"0";"0";"1629";"3";"5";"0";"13";"157";"1";"0";"0";"0";"0";"91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"15";"0";"0";"0";"1";"1274";"0";"77";"0";"5";"115";"1";"0";"1";"0";"1";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"560";"3";"0";"1";"4";"636";"166";"238";"0";"19";"77";"0";"0";"0";"0";"8";"135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"704";"3";"0";"1";"1";"548";"12";"39";"13";"42";"267";"77";"0";"0";"4";"2";"183"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"650";"0";"0";"0";"41";"1157";"2";"137";"1";"63";"88";"75";"15";"13";"0";"0";"359"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"9";"0";"0";"0";"0";"1011";"0";"224";"2";"30";"38";"7";"0";"4";"0";"0";"89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1345";"2";"0";"0";"0";"1273";"156";"304";"12";"69";"498";"82";"8";"24";"0";"5";"512"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1426";"0";"0";"2";"3";"1077";"57";"815";"16";"163";"422";"322";"4";"35";"0";"4";"522"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"575";"0";"0";"0";"2";"775";"55";"41";"0";"1";"137";"66";"2";"0";"0";"0";"279"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"876";"0";"0";"0";"1";"272";"7";"71";"7";"109";"323";"1";"1";"0";"0";"25";"259"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"863";"1";"1";"1";"5";"498";"2";"77";"9";"20";"55";"10";"1";"4";"0";"0";"178"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1368";"2";"0";"0";"1";"255";"17";"152";"19";"130";"388";"0";"0";"8";"0";"14";"269"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"15";"0";"0";"0";"0";"1053";"18";"16";"0";"0";"58";"0";"0";"0";"0";"0";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"190";"0";"0";"0";"0";"668";"0";"98";"2";"23";"225";"1";"0";"0";"0";"2";"180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"410";"1";"0";"1";"1";"253";"5";"48";"2";"17";"180";"0";"0";"0";"1";"3";"132"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1204";"3";"1";"0";"6";"1397";"9";"77";"6";"57";"786";"3";"0";"0";"1";"2";"507"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1128";"1";"1";"0";"0";"372";"42";"169";"30";"251";"369";"2";"0";"1";"0";"11";"420"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"618";"0";"0";"0";"2";"235";"12";"118";"4";"36";"209";"0";"1";"12";"7";"1";"121"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"937";"0";"0";"0";"0";"49";"18";"10";"13";"112";"195";"0";"1";"12";"1";"1";"115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"873";"0";"0";"0";"9";"451";"0";"328";"9";"13";"305";"0";"3";"1";"1";"0";"166"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"14318";"16";"3";"6";"85";"16083";"588";"3155";"177";"1235";"5441";"648";"36";"115";"15";"92";"4900"
