"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_palawija_jagung";"n_rtup_palawija_gandum_gabungan";"n_rtup_palawija_jagung_hibrida";"n_rtup_palawija_jagung_komposit";"n_rtup_palawija_jagung_lokal";"n_rtup_palawija_kedelai";"n_rtup_palawija_kacang_tanah";"n_rtup_palawija_kacang_hijau";"n_rtup_palawija_ubi_kayu";"n_rtup_palawija_ubi_jalar";"n_rtup_palawija_sorgum";"n_rtup_palawija_gandum";"n_rtup_palawija_gandum_hitam";"n_rtup_palawija_talas";"n_rtup_palawija_ganyong";"n_rtup_palawija_garut";"n_rtup_palawija_hotong";"n_rtup_palawija_gembili";"n_rtup_palawija_kimpul";"n_rtup_palawija_iles_iles";"n_rtup_palawija_juwawut";"n_rtup_palawija_gadung";"n_rtup_palawija_suweg";"n_rtup_palawija_ubi_sawut";"n_rtup_palawija_kacang_babi";"n_rtup_palawija_kacang_bogor";"n_rtup_palawija_kacang_gude";"n_rtup_palawija_kacang_komak";"n_rtup_palawija_kacang_koro_benguk";"n_rtup_palawija_kacang_merah";"n_rtup_palawija_kacang_nagara";"n_rtup_palawija_kacang_rawai";"n_rtup_palawija_kacang_tunggak";"n_rtup_palawija_porang";"n_rtup_palawija_walur";"n_rtup_palawija_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1104";"0";"17";"1";"1086";"0";"3";"27";"507";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"539";"0";"86";"0";"454";"0";"4";"4";"406";"44";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"365";"0";"0";"1";"364";"0";"17";"0";"134";"64";"0";"0";"0";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"401";"0";"34";"0";"378";"0";"16";"5";"968";"10";"0";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"560";"0";"6";"0";"555";"0";"6";"10";"851";"73";"0";"0";"0";"372";"0";"0";"0";"86";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"1";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"107";"0";"0";"0";"107";"0";"3";"2";"224";"18";"0";"0";"0";"716";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"0";"1";"0";"139";"0";"46";"14";"190";"2";"0";"0";"0";"93";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1398";"0";"129";"0";"1273";"0";"123";"81";"795";"288";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1490";"0";"85";"13";"1398";"0";"202";"301";"617";"16";"2";"0";"0";"140";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"3";"0";"0";"0";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"447";"0";"10";"0";"437";"0";"4";"2";"15";"19";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
