"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_utp_subsektor_st2023";"n_upb_subsektor_st2023";"n_utl_subsektor_st2023";"n_total_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310020] LELA";"53";"5310";"5310020";"Padi";"32";"0";"0";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310020] LELA";"53";"5310";"5310020";"Palawija";"1030";"0";"0";"1030"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310020] LELA";"53";"5310";"5310020";"Hortikultura";"682";"0";"0";"682"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310020] LELA";"53";"5310";"5310020";"Perkebunan";"1624";"0";"0";"1624"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310020] LELA";"53";"5310";"5310020";"Peternakan";"1347";"0";"0";"1347"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310020] LELA";"53";"5310";"5310020";"Perikanan";"129";"0";"0";"129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310020] LELA";"53";"5310";"5310020";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310020] LELA";"53";"5310";"5310020";"Penangkapan Ikan";"129";"0";"0";"129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310020] LELA";"53";"5310";"5310020";"Kehutanan";"87";"0";"0";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310020] LELA";"53";"5310";"5310020";"Jasa Pertanian";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310030] BOLA";"53";"5310";"5310030";"Pertanian";"2240";"0";"0";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310030] BOLA";"53";"5310";"5310030";"Tanaman Pangan";"1083";"0";"0";"1083"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310030] BOLA";"53";"5310";"5310030";"Padi";"224";"0";"0";"224"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310030] BOLA";"53";"5310";"5310030";"Palawija";"1080";"0";"0";"1080"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310030] BOLA";"53";"5310";"5310030";"Hortikultura";"996";"0";"0";"996"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310030] BOLA";"53";"5310";"5310030";"Perkebunan";"2119";"0";"0";"2119"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310030] BOLA";"53";"5310";"5310030";"Peternakan";"1436";"0";"0";"1436"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310030] BOLA";"53";"5310";"5310030";"Perikanan";"59";"0";"0";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310030] BOLA";"53";"5310";"5310030";"Budidaya Ikan";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310030] BOLA";"53";"5310";"5310030";"Penangkapan Ikan";"58";"0";"0";"58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310030] BOLA";"53";"5310";"5310030";"Kehutanan";"523";"0";"0";"523"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310030] BOLA";"53";"5310";"5310030";"Jasa Pertanian";"15";"0";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310031] DORENG";"53";"5310";"5310031";"Pertanian";"2283";"0";"0";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310031] DORENG";"53";"5310";"5310031";"Tanaman Pangan";"892";"0";"0";"892"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310031] DORENG";"53";"5310";"5310031";"Padi";"77";"0";"0";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310031] DORENG";"53";"5310";"5310031";"Palawija";"889";"0";"0";"889"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310031] DORENG";"53";"5310";"5310031";"Hortikultura";"989";"0";"0";"989"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310031] DORENG";"53";"5310";"5310031";"Perkebunan";"2224";"0";"0";"2224"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310031] DORENG";"53";"5310";"5310031";"Peternakan";"1661";"0";"0";"1661"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310031] DORENG";"53";"5310";"5310031";"Perikanan";"13";"0";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310031] DORENG";"53";"5310";"5310031";"Budidaya Ikan";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310031] DORENG";"53";"5310";"5310031";"Penangkapan Ikan";"11";"0";"0";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310031] DORENG";"53";"5310";"5310031";"Kehutanan";"318";"0";"0";"318"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310031] DORENG";"53";"5310";"5310031";"Jasa Pertanian";"20";"0";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310032] MAPITARA";"53";"5310";"5310032";"Pertanian";"1439";"0";"3";"1442"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310032] MAPITARA";"53";"5310";"5310032";"Tanaman Pangan";"941";"0";"0";"941"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310032] MAPITARA";"53";"5310";"5310032";"Padi";"822";"0";"0";"822"
