"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310010] PAGA";"53";"5310";"5310010";"113949493";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310011] MEGO";"53";"5310";"5310011";"97671685";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310012] TANA WAWO";"53";"5310";"5310012";"81393465";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310020] LELA";"53";"5310";"5310020";"73254033";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310030] BOLA";"53";"5310";"5310030";"65114628";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310031] DORENG";"53";"5310";"5310031";"73253880";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310032] MAPITARA";"53";"5310";"5310032";"32557254";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310040] TALIBURA";"53";"5310";"5310040";"162785304";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310041] WAIGETE";"53";"5310";"5310041";"89530815";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310042] WAIBLAMA";"53";"5310";"5310042";"56974092";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310050] KEWAPANTE";"53";"5310";"5310050";"73252332";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"56973980";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310052] KANGAE";"53";"5310";"5310052";"73252188";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310061] PALUE";"53";"5310";"5310061";"65112988";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310062] KOTING";"53";"5310";"5310062";"56974296";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310063] NELLE";"53";"5310";"5310063";"40696155";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310070] NITA";"53";"5310";"5310070";"122088315";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310071] MAGEPANDA";"53";"5310";"5310071";"65113676";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310080] ALOK";"53";"5310";"5310080";"56974414";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310081] ALOK BARAT";"53";"5310";"5310081";"32556786";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"89531079";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310] SIKKA";"53";"5310";"5310999";"1579010858";"0";"0";"0";"0";"0";"0"
