"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310010] PAGA";"53";"5310";"5310010";"135857197";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310011] MEGO";"53";"5310";"5310011";"116448870";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310012] TANA WAWO";"53";"5310";"5310012";"97040615";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310020] LELA";"53";"5310";"5310020";"87335516";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310030] BOLA";"53";"5310";"5310030";"77631396";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310031] DORENG";"53";"5310";"5310031";"87335244";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310032] MAPITARA";"53";"5310";"5310032";"38815638";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310040] TALIBURA";"53";"5310";"5310040";"194077950";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310041] WAIGETE";"53";"5310";"5310041";"106742821";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310042] WAIBLAMA";"53";"5310";"5310042";"67927944";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310050] KEWAPANTE";"53";"5310";"5310050";"87335856";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"67927832";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310052] KANGAE";"53";"5310";"5310052";"87335712";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310061] PALUE";"53";"5310";"5310061";"77631676";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310062] KOTING";"53";"5310";"5310062";"67927664";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310063] NELLE";"53";"5310";"5310063";"48519730";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310070] NITA";"53";"5310";"5310070";"145554280";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310071] MAGEPANDA";"53";"5310";"5310071";"77626636";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310080] ALOK";"53";"5310";"5310080";"67923254";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310081] ALOK BARAT";"53";"5310";"5310081";"38813266";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"106736399";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2303";"[5310] SIKKA";"53";"5310";"5310999";"1882545496";"0";"0";"0";"0";"0";"0"
