"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_ruta_panen_sendiri";"n_ruta_ijon";"n_ruta_tebas";"n_ruta_tdk_panen";"n_ruta_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310010] PAGA";"53";"5310";"5310010";"14";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310011] MEGO";"53";"5310";"5310011";"218";"0";"0";"2";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310012] TANA WAWO";"53";"5310";"5310012";"480";"0";"0";"7";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310020] LELA";"53";"5310";"5310020";"5";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310030] BOLA";"53";"5310";"5310030";"116";"0";"0";"7";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310031] DORENG";"53";"5310";"5310031";"86";"0";"0";"1";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310032] MAPITARA";"53";"5310";"5310032";"23";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310040] TALIBURA";"53";"5310";"5310040";"73";"0";"0";"1";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310041] WAIGETE";"53";"5310";"5310041";"48";"0";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"68";"0";"0";"16";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310052] KANGAE";"53";"5310";"5310052";"42";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310061] PALUE";"53";"5310";"5310061";"14";"0";"0";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310062] KOTING";"53";"5310";"5310062";"3";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310063] NELLE";"53";"5310";"5310063";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310070] NITA";"53";"5310";"5310070";"31";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"26";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310] SIKKA";"53";"5310";"5310999";"1258";"0";"0";"45";"246"
