"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310010] PAGA";"53";"5310";"5310010";"6688633";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310011] MEGO";"53";"5310";"5310011";"5732958";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310012] TANA WAWO";"53";"5310";"5310012";"4777355";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310020] LELA";"53";"5310";"5310020";"4299534";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310030] BOLA";"53";"5310";"5310030";"3822466";"0";"13";"0";"0";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310031] DORENG";"53";"5310";"5310031";"4302648";"0";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310032] MAPITARA";"53";"5310";"5310032";"1912262";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310040] TALIBURA";"53";"5310";"5310040";"9561070";"0";"13";"0";"1";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310041] WAIGETE";"53";"5310";"5310041";"5258418";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3346203";"0";"0";"1";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4302431";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3346938";"0";"12";"0";"0";"12";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310052] KANGAE";"53";"5310";"5310052";"4303134";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310061] PALUE";"53";"5310";"5310061";"3824940";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310062] KOTING";"53";"5310";"5310062";"3346770";"0";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310063] NELLE";"53";"5310";"5310063";"2390520";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310070] NITA";"53";"5310";"5310070";"7171410";"4";"54";"0";"0";"58";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310071] MAGEPANDA";"53";"5310";"5310071";"3824660";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310080] ALOK";"53";"5310";"5310080";"3345678";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1911794";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5257351";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2158_2160";"[5310] SIKKA";"53";"5310";"5310999";"92727173";"5";"112";"1";"1";"119";"121"
