"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310010] PAGA";"53";"5310";"5310010";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310011] MEGO";"53";"5310";"5310011";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310020] LELA";"53";"5310";"5310020";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310030] BOLA";"53";"5310";"5310030";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310031] DORENG";"53";"5310";"5310031";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310040] TALIBURA";"53";"5310";"5310040";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310052] KANGAE";"53";"5310";"5310052";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310061] PALUE";"53";"5310";"5310061";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310062] KOTING";"53";"5310";"5310062";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310063] NELLE";"53";"5310";"5310063";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310070] NITA";"53";"5310";"5310070";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310080] ALOK";"53";"5310";"5310080";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310] SIKKA";"53";"5310";"5310999";"91";"91"
