"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310010] PAGA";"53";"5310";"5310010";"34";"15";"18";"130";"197";"197"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310011] MEGO";"53";"5310";"5310011";"28";"20";"13";"558";"619";"619"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310012] TANA WAWO";"53";"5310";"5310012";"44";"29";"101";"404";"578";"578"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310020] LELA";"53";"5310";"5310020";"16";"26";"30";"226";"298";"298"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310030] BOLA";"53";"5310";"5310030";"26";"16";"59";"80";"181";"181"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310031] DORENG";"53";"5310";"5310031";"19";"20";"47";"166";"252";"252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"50";"27";"78";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310040] TALIBURA";"53";"5310";"5310040";"73";"30";"25";"381";"509";"509"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310041] WAIGETE";"53";"5310";"5310041";"42";"53";"134";"166";"395";"395"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310042] WAIBLAMA";"53";"5310";"5310042";"9";"24";"2";"39";"74";"74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310050] KEWAPANTE";"53";"5310";"5310050";"30";"15";"19";"70";"134";"134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"34";"8";"22";"106";"170";"170"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310052] KANGAE";"53";"5310";"5310052";"92";"80";"61";"225";"458";"458"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310061] PALUE";"53";"5310";"5310061";"27";"15";"42";"49";"133";"133"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310062] KOTING";"53";"5310";"5310062";"25";"24";"4";"34";"87";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310063] NELLE";"53";"5310";"5310063";"21";"31";"23";"34";"109";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310070] NITA";"53";"5310";"5310070";"49";"38";"35";"128";"250";"250"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"6";"9";"44";"71";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310080] ALOK";"53";"5310";"5310080";"23";"12";"1";"5";"41";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22";"7";"10";"45";"84";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"66";"29";"22";"99";"216";"216"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310] SIKKA";"53";"5310";"5310999";"693";"498";"727";"3016";"4934";"4934"
