"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310010] PAGA";"53";"5310";"5310010";"1604";"1";"0";"1605";"1604";"1";"1605"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310011] MEGO";"53";"5310";"5310011";"1530";"0";"0";"1530";"1530";"0";"1530"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310012] TANA WAWO";"53";"5310";"5310012";"1238";"0";"0";"1238";"1238";"0";"1238"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310020] LELA";"53";"5310";"5310020";"723";"0";"0";"723";"723";"0";"723"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310030] BOLA";"53";"5310";"5310030";"1633";"0";"10";"1643";"1643";"10";"1643"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310031] DORENG";"53";"5310";"5310031";"1493";"0";"0";"1493";"1493";"0";"1493"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310032] MAPITARA";"53";"5310";"5310032";"650";"0";"0";"650";"650";"0";"650"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310040] TALIBURA";"53";"5310";"5310040";"320";"0";"0";"320";"320";"0";"320"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310041] WAIGETE";"53";"5310";"5310041";"579";"0";"0";"579";"579";"0";"579"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310042] WAIBLAMA";"53";"5310";"5310042";"376";"0";"0";"376";"376";"0";"376"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310050] KEWAPANTE";"53";"5310";"5310050";"221";"0";"0";"221";"221";"0";"221"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"894";"0";"0";"894";"894";"0";"894"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310052] KANGAE";"53";"5310";"5310052";"348";"0";"0";"348";"348";"0";"348"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310061] PALUE";"53";"5310";"5310061";"321";"0";"0";"321";"321";"0";"321"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310062] KOTING";"53";"5310";"5310062";"626";"0";"0";"626";"626";"0";"626"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310063] NELLE";"53";"5310";"5310063";"121";"0";"0";"121";"121";"0";"121"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310070] NITA";"53";"5310";"5310070";"2218";"0";"0";"2218";"2218";"0";"2218"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310071] MAGEPANDA";"53";"5310";"5310071";"76";"0";"0";"76";"76";"0";"76"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310080] ALOK";"53";"5310";"5310080";"41";"1";"0";"42";"41";"1";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310081] ALOK BARAT";"53";"5310";"5310081";"38";"0";"0";"38";"38";"0";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"77";"0";"0";"77";"77";"0";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310] SIKKA";"53";"5310";"5310999";"15127";"2";"10";"15139";"15137";"12";"15139"
