"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310011] MEGO";"53";"5310";"5310011";"0";"6";"0";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"2";"1";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310030] BOLA";"53";"5310";"5310030";"2";"8";"0";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310031] DORENG";"53";"5310";"5310031";"8";"21";"2";"0";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310032] MAPITARA";"53";"5310";"5310032";"15";"59";"0";"0";"74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"3";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"98";"0";"0";"102"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310062] KOTING";"53";"5310";"5310062";"0";"1";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310063] NELLE";"53";"5310";"5310063";"0";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310070] NITA";"53";"5310";"5310070";"6";"38";"8";"0";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2611";"[5310] SIKKA";"53";"5310";"5310999";"36";"240";"12";"0";"288"
