"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_selain_ternak_besar_tujuan_pengembangbiakan";"n_rtup_selain_ternak_besar_tujuan_penggemukan";"n_rtup_selain_ternak_besar_tujuan_pembibitan";"n_rtup_selain_ternak_besar_tujuan_pembesaran";"n_rtup_selain_ternak_besar_tujuan_produksi";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310010] PAGA";"53";"5310";"5310010";"469";"36";"2";"0";"0";"507";"507"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310011] MEGO";"53";"5310";"5310011";"552";"29";"0";"0";"0";"581";"581"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310012] TANA WAWO";"53";"5310";"5310012";"359";"37";"0";"0";"0";"396";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310020] LELA";"53";"5310";"5310020";"426";"45";"0";"0";"0";"471";"471"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310030] BOLA";"53";"5310";"5310030";"513";"184";"3";"0";"0";"700";"700"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310031] DORENG";"53";"5310";"5310031";"486";"172";"1";"0";"0";"659";"659"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310032] MAPITARA";"53";"5310";"5310032";"340";"24";"0";"0";"0";"364";"364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310040] TALIBURA";"53";"5310";"5310040";"1063";"83";"0";"0";"0";"1146";"1146"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310041] WAIGETE";"53";"5310";"5310041";"738";"248";"1";"0";"0";"987";"987"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310042] WAIBLAMA";"53";"5310";"5310042";"340";"2";"0";"0";"0";"342";"342"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310050] KEWAPANTE";"53";"5310";"5310050";"536";"106";"0";"0";"0";"642";"642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"276";"171";"0";"0";"0";"447";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310052] KANGAE";"53";"5310";"5310052";"924";"179";"2";"0";"0";"1105";"1105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310061] PALUE";"53";"5310";"5310061";"288";"33";"0";"0";"0";"321";"321"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310062] KOTING";"53";"5310";"5310062";"198";"106";"0";"0";"0";"304";"304"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310063] NELLE";"53";"5310";"5310063";"336";"67";"0";"0";"0";"403";"403"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310070] NITA";"53";"5310";"5310070";"637";"287";"2";"0";"0";"926";"926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310071] MAGEPANDA";"53";"5310";"5310071";"364";"406";"3";"0";"0";"773";"773"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310080] ALOK";"53";"5310";"5310080";"568";"248";"1";"0";"0";"817";"817"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310081] ALOK BARAT";"53";"5310";"5310081";"194";"530";"0";"0";"0";"724";"724"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"711";"470";"1";"0";"0";"1182";"1182"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310] SIKKA";"53";"5310";"5310999";"10318";"3463";"16";"0";"0";"13797";"13797"
