"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310010] PAGA";"53";"5310";"5310010";"143";"853";"19";"4";"1019";"1016"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310011] MEGO";"53";"5310";"5310011";"25";"586";"0";"0";"611";"610"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"10";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310020] LELA";"53";"5310";"5310020";"125";"1391";"0";"32";"1548";"1545"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310030] BOLA";"53";"5310";"5310030";"53";"1646";"3";"24";"1726";"1724"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310031] DORENG";"53";"5310";"5310031";"14";"1498";"0";"0";"1512";"1512"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310032] MAPITARA";"53";"5310";"5310032";"68";"646";"0";"11";"725";"724"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310040] TALIBURA";"53";"5310";"5310040";"217";"1177";"75";"392";"1861";"1842"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310041] WAIGETE";"53";"5310";"5310041";"82";"907";"97";"133";"1219";"1215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310042] WAIBLAMA";"53";"5310";"5310042";"42";"221";"246";"249";"758";"759"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310050] KEWAPANTE";"53";"5310";"5310050";"90";"675";"13";"13";"791";"791"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"29";"1266";"3";"1";"1299";"1296"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310052] KANGAE";"53";"5310";"5310052";"40";"916";"41";"4";"1001";"1001"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310061] PALUE";"53";"5310";"5310061";"13";"860";"0";"0";"873";"873"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310062] KOTING";"53";"5310";"5310062";"69";"973";"1";"3";"1046";"1045"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310063] NELLE";"53";"5310";"5310063";"15";"566";"2";"3";"586";"586"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310070] NITA";"53";"5310";"5310070";"85";"2028";"2";"11";"2126";"2126"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310071] MAGEPANDA";"53";"5310";"5310071";"150";"142";"37";"33";"362";"361"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310080] ALOK";"53";"5310";"5310080";"32";"86";"9";"39";"166";"168"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310081] ALOK BARAT";"53";"5310";"5310081";"33";"32";"1";"4";"70";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"32";"240";"7";"7";"286";"286"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310] SIKKA";"53";"5310";"5310999";"1358";"16719";"556";"963";"19596";"19561"
