"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_kurang_2_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_2_sampai_4_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_4_sampai_6_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_lebih_6_thn"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310010] PAGA";"53";"5310";"5310010";"149";"7";"25";"39";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310011] MEGO";"53";"5310";"5310011";"241";"14";"14";"43";"197"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310012] TANA WAWO";"53";"5310";"5310012";"16";"3";"11";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310020] LELA";"53";"5310";"5310020";"19";"1";"4";"2";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310030] BOLA";"53";"5310";"5310030";"39";"3";"10";"15";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310031] DORENG";"53";"5310";"5310031";"46";"7";"5";"19";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310032] MAPITARA";"53";"5310";"5310032";"3";"0";"0";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310040] TALIBURA";"53";"5310";"5310040";"604";"92";"182";"153";"285"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310041] WAIGETE";"53";"5310";"5310041";"78";"9";"32";"11";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310042] WAIBLAMA";"53";"5310";"5310042";"44";"13";"17";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310050] KEWAPANTE";"53";"5310";"5310050";"143";"12";"30";"33";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"105";"19";"27";"25";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310052] KANGAE";"53";"5310";"5310052";"60";"15";"14";"12";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310061] PALUE";"53";"5310";"5310061";"5";"0";"3";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310062] KOTING";"53";"5310";"5310062";"29";"3";"11";"4";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310063] NELLE";"53";"5310";"5310063";"12";"1";"4";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310070] NITA";"53";"5310";"5310070";"193";"31";"36";"32";"104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310071] MAGEPANDA";"53";"5310";"5310071";"54";"5";"17";"11";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310080] ALOK";"53";"5310";"5310080";"17";"3";"5";"2";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22";"1";"3";"7";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"65";"7";"21";"15";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6135";"[5310] SIKKA";"53";"5310";"5310999";"1944";"246";"471";"437";"1030"
