"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_kurang_2_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_2_sampai_4_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_4_sampai_6_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_lebih_6_thn"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310010] PAGA";"53";"5310";"5310010";"2";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310011] MEGO";"53";"5310";"5310011";"2";"0";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310012] TANA WAWO";"53";"5310";"5310012";"3";"0";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310030] BOLA";"53";"5310";"5310030";"15";"1";"3";"4";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310031] DORENG";"53";"5310";"5310031";"10";"2";"3";"4";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"0";"0";"1";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310040] TALIBURA";"53";"5310";"5310040";"79";"54";"6";"8";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310041] WAIGETE";"53";"5310";"5310041";"23";"1";"11";"5";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6";"3";"5";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310050] KEWAPANTE";"53";"5310";"5310050";"11";"0";"4";"6";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"1";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310062] KOTING";"53";"5310";"5310062";"3";"0";"1";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310070] NITA";"53";"5310";"5310070";"23";"2";"10";"5";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310] SIKKA";"53";"5310";"5310999";"196";"65";"47";"40";"56"
