"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310010] PAGA";"53";"5310";"5310010";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310011] MEGO";"53";"5310";"5310011";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310012] TANA WAWO";"53";"5310";"5310012";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310020] LELA";"53";"5310";"5310020";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310030] BOLA";"53";"5310";"5310030";"25";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310031] DORENG";"53";"5310";"5310031";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310032] MAPITARA";"53";"5310";"5310032";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310040] TALIBURA";"53";"5310";"5310040";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310041] WAIGETE";"53";"5310";"5310041";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310042] WAIBLAMA";"53";"5310";"5310042";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310050] KEWAPANTE";"53";"5310";"5310050";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310052] KANGAE";"53";"5310";"5310052";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310061] PALUE";"53";"5310";"5310061";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310062] KOTING";"53";"5310";"5310062";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310063] NELLE";"53";"5310";"5310063";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310070] NITA";"53";"5310";"5310070";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310071] MAGEPANDA";"53";"5310";"5310071";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310080] ALOK";"53";"5310";"5310080";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310081] ALOK BARAT";"53";"5310";"5310081";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"25";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2414_2416";"[5310] SIKKA";"53";"5310";"5310999";"25";"1";"0";"0";"0";"0"
