"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_utp_seluruhnya_dijual";"persentase_utp_sebagian_besar_dijual";"persentase_utp_sebagian_besar_dikonsumsi";"persentase_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310010] PAGA";"53";"5310";"5310010";"58.33";"41.67";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310011] MEGO";"53";"5310";"5310011";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310020] LELA";"53";"5310";"5310020";"15.00";"70.00";"10.00";"5.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310030] BOLA";"53";"5310";"5310030";"95.24";"4.76";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310031] DORENG";"53";"5310";"5310031";"90.77";"7.69";"1.54";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310032] MAPITARA";"53";"5310";"5310032";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310040] TALIBURA";"53";"5310";"5310040";"73.31";"25.10";"0.80";"0.80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310041] WAIGETE";"53";"5310";"5310041";"68.11";"31.10";"0.53";"0.27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"97.87";"0.71";"0.00";"1.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"63.33";"36.39";"0.28";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"59.54";"39.31";"0.58";"0.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310052] KANGAE";"53";"5310";"5310052";"76.29";"23.09";"0.00";"0.63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310061] PALUE";"53";"5310";"5310061";"0.00";"100.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310062] KOTING";"53";"5310";"5310062";"80.00";"20.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310063] NELLE";"53";"5310";"5310063";"25.81";"74.19";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310070] NITA";"53";"5310";"5310070";"54.65";"37.21";"8.14";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"51.83";"46.84";"1.33";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310080] ALOK";"53";"5310";"5310080";"75.00";"25.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"71.50";"26.42";"1.04";"1.04"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"44.20";"42.86";"12.95";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310] SIKKA";"53";"5310";"5310999";"67.99";"30.22";"1.39";"0.40"
