"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310010] PAGA";"53";"5310";"5310010";"16";"2";"3";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310011] MEGO";"53";"5310";"5310011";"62";"22";"0";"0";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310012] TANA WAWO";"53";"5310";"5310012";"17";"73";"19";"1";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310020] LELA";"53";"5310";"5310020";"10";"20";"0";"0";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310030] BOLA";"53";"5310";"5310030";"1";"14";"0";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310031] DORENG";"53";"5310";"5310031";"5";"8";"2";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"4";"0";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"5";"1";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310041] WAIGETE";"53";"5310";"5310041";"14";"3";"1";"0";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"2";"1";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"9";"1";"2";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"6";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310052] KANGAE";"53";"5310";"5310052";"3";"1";"2";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310062] KOTING";"53";"5310";"5310062";"8";"10";"0";"0";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310070] NITA";"53";"5310";"5310070";"128";"47";"43";"0";"212"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310071] MAGEPANDA";"53";"5310";"5310071";"19";"6";"0";"3";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310080] ALOK";"53";"5310";"5310080";"4";"6";"3";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310081] ALOK BARAT";"53";"5310";"5310081";"9";"4";"3";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"1";"2";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310] SIKKA";"53";"5310";"5310999";"308";"244";"81";"7";"632"
