"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310010] PAGA";"53";"5310";"5310010";"5";"1";"5961483";"0";"1";"0";"60";"300"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310031] DORENG";"53";"5310";"5310031";"5";"1";"5961332";"0";"3";"0";"35";"525"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"17883946";"0";"6";"0";"146";"834"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"5961402";"0";"4";"0";"300";"935"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5";"1";"11922760";"0";"3";"0";"41";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"5961371";"0";"2";"0";"150";"300"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310063] NELLE";"53";"5310";"5310063";"5";"1";"5961680";"0";"2";"0";"14";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"1";"5961662";"0";"1";"0";"40";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"11923309";"0";"2";"0";"179";"144"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"5961649";"0";"1";"0";"100";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"1";"5961749";"0";"2";"0";"200";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2164";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"89422343";"0";"27";"0";"1265";"3689"
