"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310010] PAGA";"53";"5310";"5310010";"6";"1";"4312843";"0";"5";"0";"3";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310030] BOLA";"53";"5310";"5310030";"6";"1";"12940931";"50";"153";"0";"349.2";"1364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310040] TALIBURA";"53";"5310";"5310040";"6";"1";"30193990";"1867";"10304";"46";"25302.92";"137075"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310041] WAIGETE";"53";"5310";"5310041";"6";"1";"8625283";"0";"25";"0";"81";"470"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"1";"17250642";"0";"347";"0";"918";"3416"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"6";"1";"12938102";"0";"270";"0";"549";"2230"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310052] KANGAE";"53";"5310";"5310052";"6";"1";"12938145";"153";"42";"0";"67.58";"428"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310070] NITA";"53";"5310";"5310070";"6";"1";"21563435";"87";"212";"0";"648";"4255"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"1";"8625639";"31";"206";"0";"196.84";"2198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2146";"[5310] SIKKA";"53";"5310";"5310999";"6";"1";"129389010";"2188";"11564";"46";"28115.54";"151486"
